time,page,sender_name,content,photos,videos,link,kdv,,
2024/01/30,Beatvn,Nguyễn Long,"LẠI TRIỆT PHÁ ĐƯỜNG DÂY BÁN DIÊM CÓ CẢ HOA HẬU, DIỄN VIÊN, CA SĨ 🥹  Cho đến lúc bị bắt giữ, tú ông Nguyễn Hữu Thái (1998) điều hành 7 group với 65.992 thành viên! Được biết các cô gái bán diêm của tú ông ngoài mấy cô bán diêm chuyên nghiệp không tính tiền còn có cả người mẫu, diễn viên, ca sĩ.   Được biết một lần mua diêm có giá từ 5 triệu đến cả trăm triệu đồng. Từ tháng 8/2022 đến nay tú ông kiếm đâu đó có 15 tỷ! Thời điểm bị bắt giữ tài khoản của tú ông có 8,5 tỷ đồng.   Đáng lưu ý, lúc bị bắt tài khoản của tú ông vẫn tinh tinh nhận tiền các anh giai nộp tiền để tham gia nhóm kín. Và hàng chục cô gái đang xếp hàng chờ tú ông “check hàng” để đưa lên group.   -Thỏ- Tham khảo CAND #beatvn","https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/423422482_2622792064562982_8638720994089623087_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeFfNRYkvg8MzzfH8fKaxSg5G00orKjxVmwbTSisqPFWbESKU66rWS29WqwCMHGKIFnLA8qoJLlbZ-5q4kLZSDlF&_nc_ohc=AiXU4uI0G6MAX_7SRBC&_nc_ht=scontent.fhan14-2.fna&oh=03_AdTaV77WD_mQC2RPf8KRI_HcEw8ugixDQH9kDx9ZBUDcaw&oe=65E89100 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/420630561_1305089240178328_1070524021792395082_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeECTWfNfe9Bup-AdSI50oZgSYCh8WYcHIlJgKHxZhwciQSN0q10o3ijmRyJDQlhSCuQr1zwqNtsB3Bi9eLYDGl-&_nc_ohc=b_IABKXNBmEAX9A4ppc&_nc_ht=scontent.fhan14-3.fna&oh=03_AdSIkFupa7J-hsJOLLzdgjdXaDtW2rLpPKBoPG9YSoipog&oe=65E8A417 ",,,Bách,,
2024/01/30,Beatvn,Thang Le,Tán gái là không ngừng bỏ cuộc ✊,https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/423944330_250800441387407_621794752374716324_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeGfM861wO52igK4Gv9C9K9s8gm42FBlKN7yCbjYUGUo3g0ZwnfkakXdspGsXkcqpfQyrS-ljfmiYBxCWY56YzZl&_nc_ohc=o7y7_6qplZwAX-DyjI4&_nc_ht=scontent.fhan14-1.fna&oh=03_AdQcO84jn-abjXRBgklsnhTHjS04n8TjAWv1RAjFS2fRyA&oe=65E8AF5F ,,,Đạt,,
2024/01/30,Beatvn,Tống Bùi Vĩnh Hoàng,ĐỪNG SỢ HÃI TRƯỚC THỰC TẾ KHI THEO ĐUỔI ĐAM MÊ  Cùng đón xem tập 7 podcast “A Beat of Life” trên BEAT Network vào 20:00 ngày 31/01 để cùng nghe thêm những chia sẻ  của khách mời Vương Anh Ole nhé!  #Beatvn #ABeatOfLife,https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/418727640_1109176770228407_8446967663349419231_n.png?_nc_cat=100&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeGVfTcysXCxTNA_PJuiltM8gwv01bJddKODC_TVsl10ow-2xektWKkKgFb9b2O7tpxww-XtHBtuac-zFatMDpQG&_nc_ohc=p59UdMb-kvkAX9wVNom&_nc_ht=scontent.fhan14-2.fna&oh=03_AdS7KLORHIT2le4grLkFhPKUzPn7S4c6HZOY4y_Za7k4Ew&oe=65E882CC ,,,Đạt,,
2024/01/30,Beatvn,Nguyễn Tuấn Thịnh, ,https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/420838409_369608222478495_8273203970423594433_n.png?_nc_cat=101&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeHVA_hbzzE_hMk-8unoWBBeCSbLO1qFiBAJJss7WoWIEL6zctRmbX1o85gmDi6Micro3kVgwC_SpoEtAM0QsjrC&_nc_ohc=l0RH2xRwLIIAX-Caj7V&_nc_ht=scontent.fhan14-1.fna&oh=03_AdRlqISYIy9AnM2rUQNPUv7QiJ-G3UKouzleoy325kSPhw&oe=65E88057 ,,,Đạt,,
2024/01/30,Beatvn,Nguyễn Tuấn Thịnh, ,https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/421294100_738362601571239_8149670529736985291_n.png?_nc_cat=108&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeHZ81WUmmmcs1J5RdkNHg7OgYZmNEsUb3uBhmY0SxRvew8BIV1Z2iQre1thSD3u40AB6SKKHSiG1BLioJ9k87PV&_nc_ohc=siwMq8aoo08AX_PzZzj&_nc_ht=scontent.fhan14-2.fna&oh=03_AdSpHkrpx-dUejn5DvPd6gEqEo6oHXIBnhMiOcevsNhcJA&oe=65E89D98 ,,,Đạt,,
2024/01/30,Beatvn,Nguyễn Tuấn Thịnh,"HOÀN THÀNH NHIỆM VỤ !!! =)))  Xong khi làm nên lịch sử cho nền bóng đá Indo với thành tích lần đầu chiến thắng Việt Nam sau đúng 8 năm dài đằng đẵng thì mới đây, huyền thoại đương đại của xứ vạn đảo - HLV Shin Tae Yong đã tuyên bố sẽ chia tay Đội tuyển bóng đá Indonesia!  Ông Shin Tae Yong cho thông báo rằng ông đã có kèo khác thơm hơn để dẫn dắt nên ông sẽ chia tay Indo dù 2 bên vẫn còn rất nhiều tình cảm <("")  #beatvn #News",https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/416221841_903901041200233_750881246977717125_n.png?_nc_cat=103&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeFxjBWvonW5hSA2duAPjHBeEFg2R6lsXLQQWDZHqWxctMwNvJoeFH2xKju_a4FSnnCXxdeuQi1zV8fzvrLSG-Gs&_nc_ohc=fuhmYoxCWLsAX8ef76b&_nc_ht=scontent.fhan14-3.fna&oh=03_AdTTZAZ77qPk37yBSHJq8JxgCeN_Ox_-Wwmg-bEswhqwCQ&oe=65E890D7 ,,,Đạt,,
2024/01/30,Beatvn,Linh Phương,"Qua vợ tôi nhắn tin trên nhóm nói Tết không về quê (ngoài bắc), còn mình tôi ra ngày mùng 3, mùng 7 vào.   Thế là trưa nay cậu kế vợ, sang hỏi tôi mượn xe từ 27 tháng Chạp đến mùng 10 tháng giêng và bảo gửi 5triệu. Tôi bảo: “chắc không được đâu, anh phải đi lòng vòng thăm  bạn bè nữa chứ”.  Cu kia về. Vợ chồng tôi lại cãi nhau, tết với nhất. Chán !!  Tony Tèo chia sẻ #beatvn",https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/417947253_1089121258787293_5638593958315976448_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeE9QjCRnoclHvdrR0PF-lW5ogKGwvEpU1qiAobC8SlTWjnCfiA8ueU44Y5u6BczzETNVz3IE10Q5jMg_OH83gZ-&_nc_ohc=BWgU7V7yj18AX-y_vkJ&_nc_ht=scontent.fhan14-1.fna&oh=03_AdQ-zCAnI3OzLtynWh-w8ELmywrNuv8lk65ouEmJFrem6g&oe=65E88289 ,,,Bách,,
2024/01/30,Beatvn,Tống Bùi Vĩnh Hoàng,"HÀNG CHỤC NGHỆ SĨ ĐƯỢC TÔN VINH TRONG GIẢI THƯỞNG LÀN SÓNG XANH 2023!!! 😍  Một trong những giải thưởng âm nhạc thường niên và lâu đời nhất trong làng âm nhạc Việt Nam, Làn Sóng Xanh 2023 vừa qua đã được tổ chức với nhiều sự tham gia của các nghệ sĩ qua nhiều thế hệ.   Diva Mỹ Linh lên nhận giải đầu tiên trong đêm - giải ""Thành tựu Làn sóng xanh"". Nữ ca sĩ cảm ơn nhạc sĩ Dương Thụ, nhạc sĩ Huy Tuấn và người chồng Anh Quân, đều là những người đã đóng vai trò quan trọng trong sự nghiệp của chị.  Những nghệ sĩ Gen Z đang được giới trẻ rất được ưa chuộng như Wren Evans, Phương Mỹ Chi cũng đã được xướng tên trong 2 hạng mục giải “Ca sĩ đột phá” & “Gương mặt mới xuất sắc”. 🥳  Không chỉ góp mặt với tư cách ca sĩ khách mời, Hà Anh Tuấn cũng được vinh danh với ""Giải thưởng đặc biệt"" dành cho live concert ""Chân trời rực rỡ"" của anh. Đây là thành tựu đặc biệt của Hà Anh Tuấn trong năm qua.  Mong trong tương lai giải thưởng Làn Sóng Xanh này sẽ được trao cho nhiều nghệ sĩ tài năng hơn nữa! 🥰","https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/416169377_601706832138840_4641063914478630151_n.jpg?stp=dst-jpg_p1080x2048&_nc_cat=103&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeHPLD7qrD97_jqiWZEUrpa8c0-zJFiKVjtzT7MkWIpWO47Tc1tu1l5_GSW97WEZUNsQrfPgARWWIENevPpFQlxw&_nc_ohc=cUBuqTgS5k4AX_tGcPe&_nc_oc=AQnyd9ASy3gQkOded2HWc-gCtiixLSgMTGqQ-cqrgxX0WODVh2KbyhzDlsJP6F3t3Ss9HgIeJp4akR459F2OWdrE&_nc_ht=scontent.fhan14-3.fna&oh=03_AdQ_46cct7C_r52RwEdOEcRc-7qzrhL3RDwMXkLRiXXamA&oe=65E89738 
https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/416251438_1357086118507550_7431828993233876423_n.jpg?stp=dst-jpg_p1080x2048&_nc_cat=109&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeH5h_nUa_WzgTIg73-E4SJ7iv2LioJpm5qK_YuKgmmbmkG4tb_Tt44Vl-vcyJsmJjgdHUDvT506wKOcY-EdKA5a&_nc_ohc=A56zHINLStIAX_5KCko&_nc_ht=scontent.fhan14-4.fna&oh=03_AdTj7b_ltZKBzQ5XE1_U8fm2sgThX9fe7ZDTCCiPu-AueA&oe=65E89199 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/418724620_936932984810967_3018715113247622978_n.jpg?stp=dst-jpg_p1080x2048&_nc_cat=101&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeEeTJhpbxhzXBBvUgEjvkzgISFznvpm6sQhIXOe-mbqxA1HkEkUWpEEjeH2DrGvHOfU7bQdL63XS0Yeyb9tu_CG&_nc_ohc=ituVR7ATjd0AX_2O8XW&_nc_ht=scontent.fhan14-1.fna&oh=03_AdQbthAcuEOaanmyGeX1KNa6AmFvHPZcUYBYAcfTWW6Yqw&oe=65E88BFA 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/418748499_1086260119246003_5988850393369529707_n.jpg?stp=dst-jpg_p1080x2048&_nc_cat=110&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeFxLTr31cfpSj_GDNvWmDCZpZIIqziaU1KlkgirOJpTUnnwvfVeBnq2V8QpkLMHvbU-p0NerohLTjLewNzfYpjL&_nc_ohc=Z6j9pR7oMXIAX-yKJ4h&_nc_ht=scontent.fhan14-3.fna&oh=03_AdRvrrDgghncfkPV46InDpC5uSE1A01Zhzjd63__pOJ14A&oe=65E87ED0 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/418723294_921013326216155_5973418904490956715_n.jpg?stp=dst-jpg_p1080x2048&_nc_cat=101&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeGmhmxCk7Y3l1o-raQoRPbQHsuQHU5z1aQey5AdTnPVpL_K_58EsCbXfzx85k7hfYcqMLOO5SGeWKtKv29V0wkE&_nc_ohc=w9sknKoNKIAAX8fJ1Eq&_nc_ht=scontent.fhan14-1.fna&oh=03_AdSOKZNMwAxR7FmBqtArWmu3frm5Dc0wRa-8xndhBrBpUw&oe=65E883BA 
https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/416164098_1064862334726412_538554542378118939_n.jpg?stp=dst-jpg_p1080x2048&_nc_cat=111&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeFsUvQPmm-oLJz7NQzZ5qSxR9mVs5xDB4pH2ZWznEMHihTvwIcQTUUMWfHyrTDaxgdFnrdhPNqZptlGQNuaV87w&_nc_ohc=iM_WfgntjgkAX8unJ2X&_nc_ht=scontent.fhan14-4.fna&oh=03_AdRQpm99Gg8daiMaDm6Jlgg3riv2FBC3frI5n-j6bycXdA&oe=65E8A456 ",,,Đạt,,
2024/01/30,Beatvn,Hồng Quân,"Bố tính cả rồi. Đồ tết chỉ cần mua cái quần thôi, khỏi mua áo👍  #Beatvn",https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/405003450_904122248030019_5770184411506231312_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeG9sS1wQwTwhtZDLcjBEI0vs_uPpT2fFeez-4-lPZ8V5w67zZhHkyvoEEgrIqEgWZlPeMwjPD-aOPD_rhaXMJs0&_nc_ohc=P4KEH-EZbFsAX8rjbE7&_nc_ht=scontent.fhan14-4.fna&oh=03_AdRnNLbwsOGZc-Dvm7a3uVEbZhhGGLVRt2J6rV5Lp8fyJQ&oe=65E893AD ,,,Đạt,,
2024/01/30,Beatvn,Nguyễn Long,"KHÔNG CẦN THỬ CŨNG BIẾT BÁNH SIÊU NGON 🥰  Hôm nay mình có lên lớp sớm hơn bình thường nên khi vào lớp thì các cô lao công ở HANU vẫn đang làm công tác vệ sinh lớp học.  Các cô có hỏi mình là ăn cơm chưa và mình có trêu các cô là:” Cháu chưa ạ, sắp Tết nên là cháu hết tiền rùi ạ.”   Nhưng mình không ngờ là cô hông nghĩ đó là trêu, cô đã mời mình xuống ăn sắn luộc với các cô và định cho tiền mình ăn trưa lun🥹🥹  Sau đó thì mình có từ chối các cô và các cô cũng tiếp tục làm công việc của mình ở các lớp khác   Nhưng điều mình hông ngờ là, khoảng 30p sau cô đã quay lại và đưa cho mình chiếc bánh chưng này ạ🥹 Cô đưa cho mình và giục mình ăn trưa nhanh không đói🥹   Thật sự mình không ngờ là có ngày mình lại nhận được bát cháo hành thơm như thế. Cảm ơn cô rất nhiều. Mãi yêu HANU ạ❤️‍🔥  -Thỏ- Chia sẻ tại Cháo hành miễn phí #beatvn",https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/420720752_396851929514910_5525547988807456270_n.png?_nc_cat=105&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeHKqsnoKPTzIqRImb8pw4YhDLtHlNStgowMu0eU1K2CjJcJbTRr3xWC3SN0G6IjS-75TwRBjmHlynz36gX84xcc&_nc_ohc=7Gf50KGi6fEAX9Y5Xqm&_nc_ht=scontent.fhan14-1.fna&oh=03_AdRSZDFossfMxWbLU2v0mxbtkia-7EHDCEra-cwhgxFQ3g&oe=65E88AE2 ,,,Đạt,,
