time,page,sender_name,content,photos,videos,link,kdv,,
2024/01/30,Tám chuyện Showbiz,Thuỳ Linh,Còn đâu anh cán bộ xã năm nào 🤭 Đã đẹp zai giàu có lại còn iu mèoooo  Phim: Marry My Husband,https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/416217345_1413035645987595_5789538886501520323_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeGQVeO6N9pWmQo31U1VfS4Pi6wKD34I5CCLrAoPfgjkIObrHQlKLqK0Utw4jI9OGBk5bwWMfF_DBVzt-5KA7Aat&_nc_ohc=WrYSJ7KI7ncAX-tHWD9&_nc_ht=scontent.fhan14-4.fna&oh=03_AdRkL7v4mdb23Osj1FWmZiDuebkyYRUo4SYKtE60Hq0FTw&oe=65E8BA17 ,,,Đạt,,
2024/01/30,Tám chuyện Showbiz,Thuỳ Linh,"THẮNG LÀM VUA, THUA MANG BẦU 🥲  Wow hỉ sự cuối cùng cũng đến với cặp đôi t.r.a nam t.i.ệ.n nữ, bầu thì cưới luôn không gì phải ngại 🥳",https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/418940064_1524209875092369_7912414964705543421_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeFRRC0Wt4Kr08sv44uB55KC8HqMz5iDs1_weozPmIOzX4R-GAyfv5yrq_YY5QKABjnbZSK-5BDPBBkWukJaAmm4&_nc_ohc=dVjUHK9suh0AX8vh6UY&_nc_ht=scontent.fhan14-1.fna&oh=03_AdTbb1tHra-5ORFfP2HnSTko8c6LAeKgB21ax6AXdjHB6w&oe=65E89C25 ,,,Bách,,
2024/01/30,Tám chuyện Showbiz,Le Ngoc Tuyen,Cảnh hôn đến rồi đây 😍 Giờ thì “Cô đi mà lấy chồng tôi” còn tôi lấy chủ tịch. Kèo này chuỵ nhường 💅😗  Phim: Marry My Husband,"https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/420616023_391861936828940_3165935963847641614_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeE1eIeWmxkxvhG_uwUfD08Lsr5VVa2nrlSyvlVVraeuVLoikTR9kFUfZFe2Mksk_s7TA9icrKGQm_nQ5xHnwu49&_nc_ohc=__fnIsfL6-kAX_53QHd&_nc_ht=scontent.fhan14-1.fna&oh=03_AdSYwRk7Yynn3stdNu5vtMOicHovmw_na-xCKdNCng4Mig&oe=65E885A0 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/422737586_355254204120813_7543375338007700667_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeGtdoo4Nj1TgtjIg4vS55h0H4elFS7EDrMfh6UVLsQOs-K9nSw6oY_5PqiWFZUFJfYPjGTvm1dnTgdzEe-XVXoe&_nc_ohc=RSB9hiJfyisAX_rP9UK&_nc_ht=scontent.fhan14-3.fna&oh=03_AdTFf-fVnSlF4uxc6-yVUT6g-0NxMbuTLDF3sfGiHQbf6Q&oe=65E8ABCF 
https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/420224419_348756937958059_6833976547969990254_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeHHwGrvCUhIyjbPlMO8AMxktH9HQqlA_360f0dCqUD_fqSSDWs_zTCB7YMaupCok8r4lfrfEYwCATvPo-hEou5S&_nc_ohc=6fTY_DvmnwAAX_mmzWo&_nc_ht=scontent.fhan14-4.fna&oh=03_AdQzRqE4ODvthz1T_qcr9kfIkMddrLAo3HGXPA9kJ7ziYA&oe=65E8B24D ",,,Bách,,
2024/01/30,Tám chuyện Showbiz,Le Ngoc Tuyen,Cảnh phim được reply nhiều nhất hiện tại 🥥 lắm bỉ ngạn đen 😌,,https://video.fhan14-4.fna.fbcdn.net/v/t42.3356-2/422227895_7870032206343425_5174081624528304849_n.mp4?_nc_cat=111&ccb=1-7&_nc_sid=4f86bc&_nc_eui2=AeGzwml1EsbNdEYrNJ5uRptkyTtOE0YcFsjJO04TRhwWyAXOFzQn-F7xrHPribZ_wsoN1eOPFF0egbRvjhWcFwGN&_nc_ohc=VtG027MmplwAX-XOM2X&_nc_ht=video.fhan14-4.fna&oh=03_AdRqMv27WKKUYsDPT1HfzTEpX_Pr30v2HK0kTmy8TcHmcw&oe=65C2F5F0&dl=1 ,,Đạt,,
2024/01/30,Tám chuyện Showbiz,Le Ngoc Tuyen,Nhà đài đẩy thuyền cực mạnh cho đôi “chồng ngoại tình với bạn thân” trong phim Marry My Husband 😌  Còn vợ thì đi dự đám cưới với crush tổng tài 😍 đây là cảnh nhá hàng cho tập sau nha. Mấy bà cày tới tập mấy rồi,https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/423619365_757544896264799_18234311998147858_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeGSKpL8exUMriH4RUuNp5eHIQV0J-CQJ4chBXQn4JAnh89QSbf2yZBtDYCJxfphsDR5nCmjwUD_Ksx_UhMoWw_Y&_nc_ohc=OVfxdYrGDTkAX8T5oic&_nc_ht=scontent.fhan14-2.fna&oh=03_AdQl9jsIHQurOTCPG6C1rYz3u8Zw--iUzCXPTSLi28-4IA&oe=65E8B831 ,,,Đạt,,
2024/01/30,Tám chuyện Showbiz,Thuỳ Linh,"MCK cùng ""đôi lời"" gửi gắm sau đêm trao giải WeChoice 2023",https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/421277793_1154841228835759_2212779529390569799_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeHm9GZK9xO__ZTXseSibLeiRoRCW8JCpypGhEJbwkKnKnnep2B6-_ls8Pt38tliNpZk0JaSoGMjqeTUHrfLMcRP&_nc_ohc=kgMIDyns3Q4AX-U_oCg&_nc_ht=scontent.fhan14-1.fna&oh=03_AdRSSNL4cbYRdE0P0_YPDMwOdll82DmI6qpQdHj-jZBo3g&oe=65E89B4A ,,,Đạt,,
2024/01/30,Tám chuyện Showbiz,Thuỳ Linh,"DIVA MỸ LINH LÊN TIẾNG KHI BỊ GÓP Ý MẶC VÁY QUÁ NGẮN KHI BIỂU DIỄN CÙNG ĐÀN EM: “ĐÃ VÀO TEAM LÀ NGHE THEO MỌI NGƯỜI, AI SAO MÌNH VẬY, MỌI NGƯỜI CƯỜI MÌNH CŨNG XIN NHẬN”  Sau hôm biểu diễn cho chương trình WeChoice với đàn em, Mỹ Linh đã nhận được nhắc nhở từ những fan yêu thích cô lâu năm về việc trang phục quá ngắn khi cô tuổi tác đã lớn, cần giữ hình tượng mẫu mực đoan trang.   ""Mình mới được khán giả nhắn tin nhắc là không nên ăn mặc ngắn quá, không thích... Mình xin cãi đấy là diễn nhóm theo đội chứ có phải một mình mình đâu. Mình từ công 1 đến giờ rất đúng kỷ luật, đúng giờ và đúng luật chơi. Đã vào team là nghe theo mọi người ai sao mình vậy. Nên mọi người cười mình cũng xin nhận thôi.  Mà mình nhảy múa rất thuộc bài đó nhé. Mọi người có biết là ngoài lúc tập với team mình tự ôn đi ôn lại trong đầu những gì biên đạo Lan Nhi hướng dẫn và dặn dò. Nên nhảy đẹp thì khó nhưng đúng bài mình làm được"", Mỹ Linh chia sẻ.  Sau lời giải thích, nhiều người càng thêm nể phục trước tinh thần kỷ luật, luôn cố gắng, có chơi có chịu này của cô Mỹ Linh, cũng dần hiểu được nhờ đó mà mới có một Diva Mỹ Linh thành công của hôm nay 🥰 Tinh thần teamwork 10 điểm!!",,,,Đạt,,
2024/01/30,Tám chuyện Showbiz,Thuỳ Linh,Không công khai nhưng ai cũng hiểu là đồ đôi :)),"https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/420125989_316386074190707_793777796761921292_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeE7Mdwue1Utm9RsYwQhHj7U41Mw_ETMzd3jUzD8RMzN3UvJ7h4ytWOygvyoj4_YlfJZqsm6F6OJ5H0-RQwxloYy&_nc_ohc=9_XIWgk6vrQAX8jHwzM&_nc_ht=scontent.fhan14-4.fna&oh=03_AdQzY0T3YD6EWFE2VKQRrd4kF5CwUS1hWsgdz2EbMWt1jA&oe=65E894D5 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/415689302_389964770347412_5685076146164662470_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeF2jWulALKMUVDT44wyELEGeJ062uRBGRV4nTra5EEZFZO1lvCEjcmwI_6Vb6oEGi7iV1vp_QP7KeEZHHyM9LLP&_nc_ohc=NdkVEa3GWsYAX8muLfN&_nc_ht=scontent.fhan14-1.fna&oh=03_AdSXtCT6Jf826HPQ4_Zm81NCAlc4v31S4_qb3P9Nh2w2yw&oe=65E8ACE3 
https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/420122801_402001115614687_7971372702279702572_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeEvONMPGUxz5AFusby_FOSCEJf0hOXEtUkQl_SE5cS1SZ0_k61pLHWfV4t3dA0iQlLkaNRk-wQDPj2jcay01n_k&_nc_ohc=hjKirV_lTRsAX9jgomC&_nc_ht=scontent.fhan14-2.fna&oh=03_AdQKWRp_spEMKsjkadNgY5cHBC57YSPwQbISz-rMkZOINw&oe=65E8B9FF 
https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/416020854_2620120641488916_9089787891879073557_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeHqXfHMPsOzIzkBXAX8HVJsD8uGmQ1RILEPy4aZDVEgsbMiyTlaAefmVdp5dqQVm1N3fHDgFB9Z1hHlAWLbu5b1&_nc_ohc=eI-tbpTzypEAX9Bv5OL&_nc_ht=scontent.fhan14-2.fna&oh=03_AdSJUn8-mJKS2cYRJdJzhYexEo5zLb2DUEzHnEXhfrUe-g&oe=65E8AB1E ",,,Bách,,
2024/01/30,Tám chuyện Showbiz,Le Ngoc Tuyen,Bảo hiểm hôn nhân của Jenifer kiểu:,https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/404869944_1560951828037992_6275977588363067695_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeEwN3m0gk1IWWGB4TDsvf2xVOaKnSFEY45U5oqdIURjjjl0_zFcQj0LC1RiLB4PGJhvddTDirRTL7zewLLUu4wt&_nc_ohc=Ef26AqAHkXQAX_eDqT0&_nc_ht=scontent.fhan14-2.fna&oh=03_AdRdQIqWItkHd3grMVDPqfqTHpTSnC9Y8fEZA8-N01qROg&oe=65E89325 ,,,Bách,,
2024/01/30,Tám chuyện Showbiz,Le Ngoc Tuyen,"✨ HAN SO HEE: TÔI CHƯA BAO GIỜ NGHĨ MÌNH XINH ĐẸP NHƯNG GẦN ĐÂY ĐANG CỐ GẮNG NGHĨ THẾ   Khi được hỏi: ""Đã bao giờ bạn nhìn vào gương và nghĩ rằng ""Ôi ~ Mình thật xinh đẹp"" chưa?"", Han So Hee cho biết:  ""Không nha, thật sự là chưa bao giờ. Nhưng dạo gần đây tôi đang cố gắng nghĩ rằng mình xinh đẹp. Khi được khen xinh, tôi cũng thấy rất vui. Cho mọi người thấy vẻ xinh đẹp của mình cũng là một chuyện tốt. Tôi sẽ cố gắng để cho các bạn thấy những mặt tốt đẹp của mình.""  Chị mà còn phải cố gắng nghĩ mình xinh đẹp sao chị Han So Hee. Ôi vậy khuôn mặt bình thường như chúng tôi còn không dám nghĩ tới việc cố gắng 😭 Người đẹp lại còn khiêm tốn thế này bảo sao không mê cho được 😘","https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/416165626_1771987386632005_1694586881460391388_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeGATC2ugkFpu41x6rrBQ4bYpibZfp3-3J-mJtl-nf7cnzNidVWpt1uWWnOcWym2r4S3OLB8hU4_ScfnDlNvB7Uc&_nc_ohc=SkmubIJybN0AX9ZodIT&_nc_ht=scontent.fhan14-1.fna&oh=03_AdRYu01ETO5ISLgAV7mkd84CO0jjFi1izgZ7e19b021STQ&oe=65E89CAC 
https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/416165625_1070797310828515_246392743054780237_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeH8SSgjTSjr8X8BWGlo7Reo6IbHTTHoheLohsdNMeiF4hYF3He-BA5xkny7VzSUqeWtJ9nUCOZdYPwqT_1ckjiO&_nc_ohc=n33rjqeOg78AX9LnbNt&_nc_ht=scontent.fhan14-4.fna&oh=03_AdRaOMgz-qIbY-jz0e1D2eJCAatm_ZPpMn5s2qJYxxcHbg&oe=65E8A541 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/420027400_910586640780765_860222388897680564_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeHZ1XFXL96Faje1wR5o54KE2zU3WZk7aT7bNTdZmTtpPhbSiIy_cbyPCfFz3bzrWB2-TqJFeb9oy1OIcF-hlZod&_nc_ohc=j8hFdRsk5ccAX-qEq3Z&_nc_ht=scontent.fhan14-1.fna&oh=03_AdRaJ_fE9YdnUzXEWS6pRWX3Ro7bOdc4a4pQPPETyOzanQ&oe=65E89CF0 
https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/415851036_886289526522385_5088896642127566697_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeGYofGQcUK4Eq-SYoDDmX8PPeoCQqpD93I96gJCqkP3cqFYCxD8AiS0zasRDJ5A19dUEe031EZUxbyRxx-bbyJf&_nc_ohc=WI8Y-VVAOg4AX_QuVLz&_nc_ht=scontent.fhan14-2.fna&oh=03_AdQ6-WYl5RDUlPXfHcwjYm-nN8Ys8kfAAB6E6Lv-Pg-uNA&oe=65E88FA1 ",,,Đạt,,
