time,page,sender_name,content,photos,videos,link,kdv,
2024/02/05,Inside The Box,Giang Uyên,"B10:  Năm vừa qua, bạn hối tiếc nhất điều gì?   “Mình chưa yêu bản thân đủ nhiều, mình để sức khỏe của mình đi xuống.”   “Mình vẫn chưa nói yêu bố mẹ, cũng chưa dành thời gian cho bố mẹ nhiều hơn.”   “Mình á? À, ừm… mình không hối tiếc điều gì cả.”  Vậy còn bạn, trong năm qua bạn có còn tiếc nuối điều gì không? Tôi không biết bạn đã bỏ lỡ bao nhiêu chuyện, đánh mất bao nhiêu người, vấp ngã bao nhiêu lần. Chỉ biết hôm nay, bạn vẫn còn ở đây, lựa chọn tiếp tục chờ đợi hạnh phúc, tức là bạn đã mạnh mẽ lắm. Bỏ lỡ không thể lấy lại, hối tiếc cũng không thể quay đầu. Dù thế nào cũng đã qua rồi, gói ghém và để chúng ở lại cùng năm 2023 nhé.   Mong bạn vững vàng, để năm 2024 này không tiếc nuối điều gì cả.   B11:  Điều khiến bạn hạnh phúc và tự hào nhất năm 2023 là gì?   Mình vẫn còn ở đây, vẫn còn nguyên vẹn niềm tin vào mình này, và vẫn còn những người yêu thương mình nữa.   Có người rời đi, có chuyện không hay ập tới, có những ngày mình chỉ biết khóc thôi, nhưng sau cùng đã lớn hơn rất nhiều rồi. Mình tự hào vì trái tim mình, nó đã tự lành sau vài lần trầy trật, tự hào vì mình đã không lệch lạc, để rồi đánh mất những người mình thương.   Mong rằng mình của 2024, vẫn giỏi giang như thế, vẫn tin tưởng vào mình để hạnh phúc như thế.  B12:  Điều ước của bạn năm 2024 là gì?   “Nhiều tiền nhá, phải thật nhiều tiền.” “Ừm, mẹ mình không còn đau lưng nữa.”  “Mình cưới, đây không phải mục tiêu, đây là điều nhất định phải làm được.”   Hôm chúng tôi làm cuộc phỏng vấn nhỏ này, hỏi ai cũng đều bảo: “ôi cho xin ít nhất 10 giây còn nghĩ”, thậm chí có người còn bảo: ước gì sớm thế, đã năm mới đâu.   Không được!! Năm mới sắp đến rồi, lên dây cót cho năm 2024 bằng cách đặt ra mục tiêu và điều chúng mình kì vọng thôi mọi người ơi!! Nhớ tự trả lời điều ước của chính mình năm 2024 là gì nhé!",,,,Đạt,
2024/02/05,Inside The Box,Giang Uyên,"Nhà mình mua bánh kẹo bán theo cân. Có một đợt hồi cấp 2, mình thấy tự ti khi mời bạn bè vào nhà chơi. Tại các nhà khác thì bày bánh kẹo xịn, rồi bao nhiêu loại hạt đắt tiền, nhà mình chỉ có kẹo hai mấy nghìn một lạng, hơn trăm nghìn cả cân bán trong siêu thị, hạt thì nho khô, hạt bí, hạt hướng dương.   Có lần sau tết, mọi người nói chuyện với nhau, bàn về các loại đồ ăn tết ưa thích, mình chỉ ngồi nghe rồi cười cười, tại mình không biết. Có thử ở nhà khác thì cũng chỉ ăn một lần, có nhớ nổi tên hay sành sỏi đâu. Mình nhớ như in lần bạn hỏi mình có thích ăn hạt dẻ cười không, mình bảo “đắng lắm”. Bạn mình sửng sốt, bảo đắng gì, hay mình ăn cái đểu. Mình chỉ cười gượng, bảo chắc tao ăn phải hạt bị hỏng rồi.   Giờ thì mình lớn, đi làm, tết mua bánh kẹo cho nhà cũng phong phú lắm. Nhưng vẫn thấy bánh kẹo mẹ mua hồi xưa là ngon nhất. Lạ thật!",,,,Đạt,
2024/02/05,Inside The Box,Giang Uyên,"B7: Năm nay là tết thứ 3 mình mất bố. Mình nhớ năm đầu tiên bố mất, mẹ con mình vừa cúng giao thừa xong, rồi mẹ ngồi một góc, con ngồi một góc. Nhà cửa vắng lắm, lặng thinh. Rồi mẹ hỏi mình, con có nhớ bố không. Mình không dám khóc, chỉ bảo “con có”. Mình sợ mẹ buồn, vì mới hôm trước còn có chồng, hôm sau đã như thế này rồi…   Bố đi rồi, tết nhà mình cũng chỉ như ngày bình thường thôi, cũng chỉ là mọi người gặp nhau, đông đủ hơn mọi khi. Điều mình hối hận nhất là khi bố còn sống, bố hay rủ mình đi chợ tết cùng bố, nhưng mình chả bao giờ đi cùng bố cả. Mình đỡ lỡ nhiều dịp để được gần với bố hơn.   | Khách mời của Inside the Box, bạn Thắm.   B8:  Nhà hàng xóm mình vừa cãi nhau vì mấy cái nem rán. Tại mình ở chung cư, nên phòng nào mở cửa mà to tiếng thì gần như cả tầng đều nghe thấy. Mình nghe được thì biết, bác gái bảo năm nay không ăn nem nữa, cả nhà nhịn. Bác mắng chồng là chỉ biết đi thôi, tết nhất ai chả có việc, nhưng người biết thương vợ con thì biết sắp xếp thời gian hơn mà hộ gia đình. Cái nhà không phải chỉ để ngủ, còn phải biết vun vén vào. Có cái âu đựng nhân nem vợ trộn xong hết rồi, chỉ nhờ cuộn vào để trữ đông cũng không làm. Để từ sáng tới giờ (khoảng 6 rưỡi chiều) rồi vẫn y nguyên như mới.   Bác trai im lắm, mình không thấy nói gì. Tính bác cũng hiền, mỗi tội thấy bố mẹ mình bảo ham chơi, việc lớn nhỏ đều một tay bác gái quản. Thôi thì mỗi nhà mỗi cảnh, ai đều có công việc riêng, Nhưng mình nghĩ tết nhất rồi, cũng bao nhiêu việc, mỗi thành viên trong gia đình đỡ đần nhau tí, việc nọ việc kia chia ra để không nặng gánh một người thì hơn. Nhỉ.  B9:  Tết năm nay, để ý hơn mình mới hiểu: ông bà ngoại thương bố mình (con rể) là có lý do cả. Tết bố lo sắm sửa cho ông bà còn hơn cả mẹ. Sớm thì cân thịt, giục mẹ đặt bánh chưng cho cả nhà thì đặt cả cho ông bà nữa. Đi chọn hoa đào cho nhà mình cũng chụp ảnh gửi vào trong nhóm gia đình chung, hỏi: “bố mẹ có ưng cành nào không con mua cả thể.” Rồi tối hôm qua, lúc mẹ bảo năm nay cho ông bà nội nhiều hơn một tí, ông bà phải lo nhiều hơn, bố mình cũng gạt đi: thế thì cho cả ông bà ngoại thêm nữa, nội ngoại phải như nhau.   Mấy ngày cận tết, bố đi lại lại mấy bên nhà, dọn dẹp rồi mua sắm cái nọ cái kia. Trừ khoản xông vào bếp nấu cơm đủ mấy mùng ra thì việc gì bố cũng hộ tất! Chồng quốc dân không thì mình không rõ chứ bố đúng là con rể quốc dân rồi!!",,,,Đạt,
2024/02/05,Inside The Box,Giang Uyên,"B1:  Cả năm nay mình chưa đi làm tóc lần nào, bận với lười đi nên tóc cứ búi gọn lên đằng sau cho tiện. Hôm trước về nhà, mẹ mình chê hai mấy tuổi đầu mà trông như sáu mươi, ""mày lại tiếc tiền làm tóc chứ gì, trông có chán không"". Mình cười cười, con lười ý, chứ tiếc tiền gì.   Lát sau, em trai mình, kém mình 9 tuổi vào phòng thầm thì: ""Tết này em có lì xì nhiều xong em chia cho chị 300 nghìn đi làm tóc nhá, em giữ lại 200 mua đồ chơi với còn lại đưa cho mẹ."" Ông tướng này làm tôi buồn cười quá, chắc nghĩ mình tiếc tiền thật nên ""em cho"". Con trai mà tình cảm lắm nhé, rất thương chị!  B2:  Mình thấy mọi người hay than sợ phải dọn nhà mỗi khi tết đến, nhưng đó lại là điều ước của mình. Vì mình đến nhà còn không có. Bố mình mất sớm, chỉ có mẹ, mình - con trai cả trong nhà, và em gái mình thuê trọ trên Hà Nội. Mẹ mình làm ở trường mầm non thôi, mình thì cũng mới ra trường nên tiền không dư dả gì, cả nhà mình thuê một cái trọ bé. Mình nằm ở đệm phòng khách, mẹ với em ngủ trong cái phòng duy nhất trong nhà. Đồ đạc cũng không có gì, bàn ghế đẹp ở phòng khách lại càng không.  Mình cũng thèm cảm giác được lau chùi bàn ghế mỗi khi tết đến, mua cây đào cây quất trang trí trong nhà cửa, sắm các khay bánh kẹo to bày trên bàn. Nhưng nhà mình không năm nào có. Tết đến mẹ đưa cả 2 đứa mình về ngoại, ở hết sạch mấy mùng rồi lên lại Hà Nội. Thế là cả nhà lại quay lại nhịp sống bình thường, cái phòng trọ bé bao nhiêu năm ấy vẫn không “ám mùi” tết. Có thì cũng chỉ là tủ lạnh thêm được vài cái bánh chưng, hay mấy món mẹ xách từ nhà ngoại về. Mẹ mình vất vả, giờ mình là chỗ dựa duy nhất của mẹ. Nên mình nhất định phải cố gắng để mẹ có cuộc sống tốt hơn, mua nhà ở quê hay ở Hà Nội cũng được, nhưng nhất định nhà mình sẽ có nhà!  B3:  Lúc mình bé, lì xì với mình là biểu tượng ngày tết. Mình rất sợ mỗi khi lớn lên mình không được nhận lì xì nữa, mà phải đi lì xì người khác.  Những năm mình cấp 2, mình biết: lì xì là tiền của chính bố mẹ mình. “Người ta lì xì mình, thì trước đó bố mẹ mình cũng phải lì xì con họ.” Mình bớt thấy thích thú khi thấy lì xì hơn.   Giờ mình lớn rồi, đi làm vài năm, thu nhập ổn định, lì xì với mình lại là một điều rất đặc biệt. Mình thích cảm giác có tiền, thật nhiều tiền để lì xì bố mẹ. Mình thích thấy bố mẹ cười, hãnh diện “đấy đẻ con gái mát dạ thế cơ mà”. Mình cũng thích được xếp hàng, tận tay đưa bao lì xì đỏ cho ông bà, rồi lại phát từng bao cho mấy đứa cháu. Mình thấy mình cũng lớn, cũng giỏi giang nhiều đấy, “lộc” mình cho đi ai cũng vui cơ mà.  Thì ra, nhận hay cho không khác nhau là mấy.  B4:  Hôm trước công ty mình báo lịch nghỉ tết: 8 ngày, bắt đầu nghỉ từ ngày 29. Tức là mọi người làm hết 28 sẽ được về quê. Chị sếp mình xem lịch báo xong, thở dài, mình an ủi: chị ơi không sao đâu, xin nghỉ trước mấy hôm, về sớm sắm sửa cho bố mẹ. Ở đây thêm 1, 2 hôm cũng chả giải quyết được gì, cận tết mọi người cũng đều không có tinh thần làm gì.   “Thôi mày ơi, chị xin mày. Nghỉ 2 hôm là tiền triệu đi rồi đấy, chị thà ăn cơm Hà Nội thêm mấy hôm, chấm đủ công rồi về quê nhận lương giáp tết cho ấm. Giờ lớn rồi, chị mày chưa chồng thật nhưng vẫn đầy thứ phải lo kia.”   Mình cũng giật mình, ừ nhỉ, sao mình ngô nghê thế. Năm nay đi làm rồi chứ không phải như hồi đi học đại học - nghỉ hay không là tự giác nữa. Nghỉ giờ còn liên quan đến bao nhiêu thứ tiền. Chấm công, chấm công, chấm công. Cố nán lại đây mấy buổi thôi nhưng đỡ được bố mẹ cây đào chậu quất.  B5:  Tết là những ngày tháng vô lo nhất của mình.  Mình không phải ngày nào cũng nghĩ hôm nay ăn gì, vì “đầu bếp mẹ” đã thầu từ a đến z.  Mình không phải đặt báo thức lúc 6 rưỡi sáng, lo đoán xem đoạn đường nào hôm nay tắc, lo đi làm muộn chậm chấm công. Ở nhà, bố cho ngủ thoải mái, “bao giờ dậy được thì dậy.”   Mình không sợ ở một mình, không sợ “quá nhiều thời gian ở một mình” để “thừa sức” nghĩ linh tinh, rồi mệt mỏi tinh thần, hay khóc. Mình có tất cả những người mình yêu nhất ở bên cạnh, đủ thương đủ hiểu để lấp đầy tất cả những khoảnh khắc mình lạc lõng và sợ hãi vô cùng.   Mình không phải đắn đo mỗi lần bước ra đường phố Hà Nội đất chật người đông, đi một bước cũng bon chen chật chội. Về quê rồi, đường rộng thênh thang, đi cả ngày cũng chẳng mấy khói.   Tết đắt đỏ thật, nhưng xứng đáng quá.  B6:  Tết năm đầu mình làm nails, móng dài, nhọn, đính cả đá rồi mấy hạt cườm. Bố không thích, cứ càm ràm mấy hôm: “Đắp lên tay mấy cái ấy phí tiền, rồi làm sao hộ được mọi người nấu cơm rửa bát nữa. Chỉ mấy đứa lười mới làm nail thôi.” Thế là năm sau đấy mình không làm nail nữa, chỉ sơn màu da bóng, giản dị y như ý bố thích. Về quê, thấy các chị con gái trong họ ai cũng xúng xính móng đẹp, mình trách trêu bố: đấy, giờ ai cũng làm còn gì bố, các chị làm liên tay mà vẫn móng giả xinh tươi còn gì. Bố chả nói gì, bảo “kệ”.   Năm nay, mình về quê sớm, 24 đã về, quanh quẩn ở nhà. Sáng nay ăn cơm bố hỏi: thế “nêu niếc” gì ấy, năm nay không làm đi cho có không khí à. Mình giật mình luôn, bảo “thật nhá bố, còn làm là phải lố cơ”. Bố bảo “kệ mày, thích làm gì thì làm”.   Thế là ngay chiều nay mình đã tậu cho em tay một bộ móng mới hihi. Năm nay bộ móng đẹp hơn cả, tại bố ưng cái bụng. Quá thích!!",,,,Đạt,
2024/02/04,Inside The Box,Giang Uyên,"Bữa tất niên giản dị của các bác lao công Hà Nội   Trưa ngày cận Tết, các bác nữ công nhân vệ sinh môi trường tại Hà Nội sau khi kết thúc giờ làm việc sáng đã tranh thủ ngồi ven vỉa hè vắng người qua lại ở phường Kiến Hưng, quận Hà Đông để tổ chức bữa tất niên. ""Bữa tiệc"" không phải quán ăn hay nhà hàng sang trọng nào. Người thì mang theo bếp ga mini, người thì góp xúc xích, người mang rau, đậu phụ, thịt… Cứ thế mọi người cùng xúm lại nấu tạm ven lề đường rồi cùng ăn uống đơn giản nhưng đầy ấm cúng.  | Đưa tin theo tạp chí Môi trường và Đô thị Ảnh: Báo Dân chí",,,,Bách,
2024/02/04,Inside The Box,Thao Thu Giap,"Năm 17 tuổi mình với anh quen nhau và lỡ có em bé, là con mình bây giờ. Mình nhớ, vào một ngày mưa lúc mình đang bầu 5 tháng, anh đi chơi mấy ngày mới về, mình gọi không được. Đến lúc anh về, mình hỏi thì bị đ-ánh rất nhiều. Mình chạy ra đường, đi bộ về ngoại và không mang theo một thứ gì. Ngay lúc đó mình đã biết bản thân phải trở thành mẹ đơn thân rồi. Nhưng lúc gần sinh, anh đến xin lỗi, mình tha thứ và lại trở về nhà chồng. 

Cả quá trình mang thai, mình đi khám thai một mình, mình đi đăng kí sinh một mình. Mình sinh bé ở trong viện trời rét 8-10 độ, mẹ mình là người chăm, còn anh ở nhà chơi điện tử và đi chơi cùng bạn bè. Mình đã khóc rất nhiều, khóc vì thương mẹ ngày đêm chăm mình, khóc vì tủi thân. Rồi lúc sinh xong, mình phải xuống giường để tập đi. Nói thật, con gái nặng 63kg, mẹ gầy gò, không đỡ nổi. Mình đã phải nhờ chồng của chị giường bên giúp. Mình vừa đi, vừa đau, vừa khóc ở hành lang, không một ai biết. Ngày mình về nhà, vết mổ còn chưa lành, bé nhà minh khóc dạ đề, phải bế rung trên tay từ tối đến trưa hôm sau đúng một tháng đầu, một mình mình chăm con đến nỗi gần bục cả vết khâu. Bố của con thì chơi bời, vỡ nợ. 

Mình ở Hà Nội, anh trốn vào nam. Mình chẳng biết làm thế nào, con mới được gần 1 tuổi mình đành về ngoại. Sau đó một tháng, mình phát hiện ra anh yêu người khác trong đó rồi. Vì chúng mình không đăng kí kết hôn nên chia tay dễ dàng, cũng không mấy vui vẻ. Rồi con lớn dần, phải đi gửi trẻ. Tiền nuôi con càng lúc càng cần nhiều, một mình mình không gánh vác nổi. Bảo anh, thì anh nói là: “không nuôi được, gi-ết nó đi”. Và từ đấy mình và anh không liên lạc nữa… 

| Tâm sự của member với Inside the Box. 
Ảnh: minh họa. tháng, mình phát hiện ra anh yêu người khác trong đó rồi. Vì chúng mình không đăng kí kết hôn nên chia tay dễ dàng, cũng không mấy vui vẻ. Rồi con lớn dần, phải đi gửi trẻ. Tiền nuôi con càng lúc càng cần nhiều, một mình mình không gánh vác nổi. Bảo anh, thì anh nói là: “không nuôi được, gi-ết nó đi”. Và từ đấy mình và anh không liên lạc nữa… 

| Tâm sự của member với Inside the Box. 
Ảnh: minh họa.",https://scontent.fhan16-1.fna.fbcdn.net/v/t1.15752-9/421492080_402300712478411_3221975434553640530_n.png?_nc_cat=109&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeE0bd4Auilk4fjfD3_ZbimCqF-mnMs8-8KoX6acyzz7wkm927B0hXaTgURM2_tkYo44y-tmTUu1ssN8Vt1B9Pi0&_nc_ohc=Ii8TxjcL-fYAX_IwPc9&_nc_ht=scontent.fhan16-1.fna&oh=03_AdTrAP6c7Eh2t9A7WKMbhjoWJMRrLB-mEIIftIcbRHfeOg&oe=65EEF33B ,,,Đạt,"""giết""→""gi*t”"
2024/02/01,Inside The Box,Giang Uyên,"Ông bị khuyết tật, bò lê rất khó khăn ở chợ Phùng Khoang. Do vừa kéo theo đồ vừa bò nên tốc độ không nhanh được. Có bác trai hô vào gửi xe, đúng lúc ông đang bò qua khu vực ấy. Đường đông, bác trai gắt lên, quát to: nhanh nhẹn lên, nhanh cho người ta đi. Vài lần như thế.  Ông bò gấp gáp hơn, qua rồi mới dừng lại nghỉ vì mệt. Cuộc sống khó khăn, mong mọi người nhẹ nhàng với nhau hơn chút ♥️",https://scontent.fhan16-1.fna.fbcdn.net/v/t1.15752-9/418955463_428765272824449_3487256105705162595_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeFjU104d0oz6zcN5zAzPKWCKpMSAxlW7bUqkxIDGVbttZ27O-qbbtmXBwAyZ8k0fkVn97_C0TdlAHrCtcCg72nO&_nc_ohc=10uFbIpbw2EAX-JXENs&_nc_ht=scontent.fhan16-1.fna&oh=03_AdTWdkhsSyJ-bEXb5BMRjedzyaOqIR5jgw_hceL-ZbBdhA&oe=65EEF77E ,,,Đạt,
2024/02/01,Inside The Box,Giang Uyên,"Hôm qua đi vào chợ Phùng Khoang, tắc đường kinh khủng khiếp, mình thấy có một cặp đôi đi mua đồ tết, hai anh chị nắm tay nhau. Đường đông chật cứng, xe máy lẫn người đi bộ chen chúc tiến về phía trước. Chị gái bảo “sang bên đường kia xem quán kia ok không”, còn anh trai thì cằn nhằn: “đông như này sang làm cái gì, có chắc xem được cái gì không, chắc gì đã xem được mà đòi đi.” Rồi hai anh chị chen dòng người, sang đường. Vừa đi, anh trai vừa cằn nhằn điều tương tự, chị gái chả nói gì.   Tự nhiên mình nhớ tới mình với người yêu cũ ngày trước, đi mua sắm cùng nhau, mình cũng bị càm ràm điều tương tự. Vào mấy quán quần áo đông, mình luôn bị trách “cố chấp”, “không biết chọn quán nào vắng hơn mà mua”, rồi cả những câu than phiền: “đợi em mua xong thì chả biết đến bao giờ”, “thôi thôi anh đứng ở đường đợi, em vào xem đi.”   Vẫn biết là đây không phải trách nhiệm của các anh khi đi mua sắm với người yêu, nhưng mang một tinh thần như thế trước hoàn cảnh khách quan - đông, tắc, thứ chị em phụ nữ không kiểm soát được khiến mình không đồng tình lắm. Như thế có ai mua sắm được mà không thấy áy náy hay mất hứng không?   | Bạn H.A.L chia sẻ với Inside the Box.",,,,Đạt,
2024/02/01,Inside The Box,Thao Thu Giap,"Người đàn ông 42 tuổi mắt đỏ hoe, nước mắt liên tục rơi. ""Trước khi đi làm vẫn còn vợ, còn con, lúc đi về thì đã mất cả rồi""...   Rạng sáng nay, như mọi ngày, anh Duân rời nhà lúc 1h30 để chở lợn thuê từ Thái Bình ra khu vực quận Kiến An (Hải Phòng). Khoảng 3h30, anh nhận tin báo ngôi nhà gia đình anh thuê ở xã Cổ Am bốc cháy, chỉ có con gái lớn thoát nạn, vợ anh là chị P.T.X (SN 1981, thường trú tỉnh Thanh Hoá) và 2 con nhỏ vẫn đang mắc kẹt. Anh vội bắt taxi trở về. Khoảng 4h, anh về tới nhà, đám cháy đã được dập tắt nhưng vợ và 2 con của anh không còn nữa.  Cháu N.P.T.T (SN 2008, con gái lớn của anh Duân) sau khi thoát ra ngoài được người thân đưa đi bệnh viện. Theo anh Duân, cháu chỉ bị bỏng nhẹ nhưng điều anh lo nhất là tâm lý con gái bị ảnh hưởng. ""Cháu đang học lớp 10 và học giỏi. Tôi sợ sau sự việc đau lòng hôm nay, cháu bị sốc không học được. Bây giờ tôi rất rối. Tối nào các con cũng quấn quýt bên tôi, sáng đi làm về con chạy ra đón mà giờ chỉ còn lại 3 thi thể"", anh Duân nghẹn ngào.  | Theo Kênh 14.",https://scontent.fhan16-1.fna.fbcdn.net/v/t1.15752-9/420171273_679103790967251_1087546457121491971_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeEZ1niP0klR62DIdb1WHdUs8DEiQN76wSXwMSJA3vrBJd83FDd6mUmQ7jPyCOy3EgaO6HxClt-dimj1qZ2aGI8C&_nc_ohc=NpR6ZdWn3FkAX_RSeOs&_nc_ht=scontent.fhan16-1.fna&oh=03_AdTG1V5nAdqDewn07Bhp6WaMlRL7MaxPDMvXz9Usg1Tefw&oe=65EEF394 ,,,Đạt,
2024/01/31,Inside The Box,Giang Uyên,"Bạn tôi bảo nghèo hay xui, đã hết tiền mấy cái không hay còn đến một lúc. Nó vừa nhận được tin báo thưởng tết, thì hôm qua pin điện thoại hỏng, màn nứt theo, đi thay ngót nghét gần triệu, mà thưởng cũng chỉ hơn thế một tí. “Tao còn chưa kịp cho mẹ đồng nào.”   Rồi hôm qua, sáng dậy mẹ nó phát hiện trên xe ô tô gửi nhờ hàng xóm bị móp một vết to, chắc do có xe nào va chạm. Nhà nó không mua bảo hiểm thân xe, thế là lại mất một khoản.  “Mẹ tao vừa gọi điện, bảo tết không có tiền đâu con.”  “Chán nhỉ, nghèo hay xui thật.”  Sau rồi hôm nay, tôi thấy nó khoe: nó được lĩnh thêm thưởng vì phòng ban nó hôm nay tổng kết chiến dịch ghi nhận, mẹ nó bán được hết hàng mới nhập về. Nó bảo: hóa ra, nghèo không phải hay xui, thỉnh thoảng tao vẫn được đời ưu ái phết.",https://scontent.fhan16-1.fna.fbcdn.net/v/t1.15752-9/413176132_1573751653374355_3495285087995834733_n.png?_nc_cat=107&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeGa9avqFAUECaxRcn1RdmgczLzeSS-YR6bMvN5JL5hHpgWUDMUhwbyRSTG8Vpf8youIrsaI5P3F2duNG2JC1kbz&_nc_ohc=muozmLwIlMEAX-RbO6K&_nc_ht=scontent.fhan16-1.fna&oh=03_AdSFMZUn32UDaaWjC0w6tIoS977SpQS9RJbvGG1WNryfnw&oe=65EEE7F8 ,,,Đạt,
