index,time,page,sender_name,content,photos,videos,link,thumbnail,kdv
0,2024/02/10,,Khánh Ly,chị gửi ảnh tuyến bài này: https://drive.google.com/drive/folders/12-Az2l5xBtIylTjnhU4HhHIoi2lgo4VZ?fbclid=IwAR2RlU_pe8KAjw-vBKgMbWSLPL-0n0mjecdt0bSQd2RtGdM6mIMbTF3BBlg,,,https://drive.google.com/drive/folders/12-Az2l5xBtIylTjnhU4HhHIoi2lgo4VZ?fbclid=IwAR2RlU_pe8KAjw-vBKgMbWSLPL-0n0mjecdt0bSQd2RtGdM6mIMbTF3BBlg,,Bách
1,2024/02/09,,Khánh Bùi,https://drive.google.com/drive/folders/19rSyh06e55BrVp4D3BqWVrUya9Yid7Wy?usp=sharing,,,https://drive.google.com/drive/folders/19rSyh06e55BrVp4D3BqWVrUya9Yid7Wy?usp=sharing,,Empty
2,2024/02/09,,Khánh Bùi,"Beatvn  QUÁ BẤT NGỜ! GODZILLA VÀ KONG RỦ NHAU “GIAO LƯU” NGAY TRÊN BẦU TRỜI PHỐ ĐI BỘ   Cứ tưởng tháng 3 mới được gặp nhau nhưng vừa rồi tại màn trình diễn ánh sáng đón giao thừa, Godzilla vs Kong đã bất ngờ xuất hiện trên bầu trời với gần 500 máy bay không người lái. Đây quả là màn chơi lớn của GODZILLA x KONG: ĐẾ CHẾ MỚI để chào mừng năm mới cùng khán giả Việt.🤣  Phim dự kiến khởi chiếu 29.03.2024 #godzillaxkongdechemoi #godzillaxkong",,,,,Bách
3,2024/02/09,,Khánh Ly,"Beatvn:  PHÍA ĐÔNG HÀ THÀNH ĐANG SÔI ĐỘNG LẮM RỒI 🤩 :))))  Pháo lên giàn là bé lên đồ, thẳng tiến tới phía đông Hà Nội luôn và ngay cho nóng 😎 nghe nói tí nữa ở đây có màn pháo hoa nét đét đèn đẹt lắm nên nhiều anh em đã đặt gạch xếp dép kiếm ngay chỗ ngon để có view đẹp ngắm pháo hoa đón giao thừa rồi =))  Vui ở đây cứ phải gọi là nhất !!!!!!! Ông nào chưa có chỗ thì bảo tôi xí trước cho nhé, còn đến ngay đi k là hết cảnh :))))",,,,,Bách
4,2024/02/09,,Khánh Ly,"CCHN:  | 09.02.2024 - Rồi ta sẽ ngắm pháo hoa cùng nhau. Đúng không? .... |  Ngay lúc này tại phía đông Hà Nội, dòng người đang nô nức đổ về các địa điểm ngắm pháo hoa ngày một đông. Có lẽ ai cũng đợi chờ khoảnh khắc giao thừa, năm hết tết đến, được ngắm những màn pháo hoa bùng nổ, đón một năm mới an khang, thịnh vượng, tràn đầy hạnh phúc. Ở đây đang vui, đang nhộn nhịp lắm rồi........  Nếu có ai cùng nắm tay, cùng ngắm pháo hoa thì vui lắm ấy nhỉ? 🥰",,,,,Bách
5,2024/02/09,,Khánh Ly,Beatvn: LUNG LINH LÀ LÊN LUÔN !!! 🙌🏻  Liền anh liền chị dân chơi Hà Thành hình như đổ hết về đây rồi hay sao ý nhỉ :))))))  Phía Đông Hà Nội đang rực rỡ pháo hoa và sôi động xập xình hết cả nấc r :)) ông nào ham vui qua giao thừa đến đây quẩy luôn cho năm mới bung lụa đét đèn đẹt chứ còn j nữaaaa 🤣,,,,,Bách
6,2024/02/09,,Khánh Ly,"CCHN: MÃN NHÃN VỚI MÀN PHÁO HOA ĐỈNH CHÓP Ở PHÍA ĐÔNG HÀ NỘI 🎇  Mê mệt cái visual này luôn 😍  Pháo hoa rực rỡ, người dân nô nức, không khí sôi động ngập khắp một bờ Đông Hà Nội như này... chắc chắn là một năm rực rỡ rùiiiii",,,,,Bách
7,2024/02/09,,Khánh Ly,"Hay mê luôn ý Hoà ơiii Chương trình Tết ngày càng nhiều món ngon. Táo thì khỏi bàn rồi, nay lại có Hoa Xuân Ca, quả nhiên không làm con dân thất vọng! Đã tai đã mắt luôn. Có bác nào xem xong cũng xúc động rồi tự hào về quê hương mình như tôi không?  #VPBank #Vimotvietnamthinhvuong #Hoaxuanca #VTV",,,,,Đạt
8,2024/02/09,,Khánh Ly,https://drive.google.com/drive/u/1/folders/1x0i5GT5KXuAzBOAuumKnA9027HNTFW91,,,https://drive.google.com/drive/u/1/folders/1x0i5GT5KXuAzBOAuumKnA9027HNTFW91,,Đạt
9,2024/02/09,,Khánh Ly,"2. Chuyện của Hà Nội  - Caption:  | 29 TẾT - BẠN ƠI, BẠN ĐÃ VẤT VẢ NHIỀU RỒI |  Khi đọc những dòng này, hi vọng bạn đã được về nhà, ngồi ở một căn phòng khách ấm cúng bên cạnh gia đình, hoặc nằm trong chiếc chăn ấm áp trên chiếc giường quen thuộc. Bạn ơi, suốt một năm khó khăn vừa qua, bạn đã vất vả nhiều rồi. Những thất bại, vấp ngã, trăn trở, buồn vui... xin để lại ở năm cũ. Mời bạn thưởng thức những ngây ngô, tươi vui, kỳ vọng, hạnh phúc sắp tới dưới đây nhé! Và cả Đại nhạc hội Hoa Xuân Ca 2024 nữa, để chúng mình được trở về với tuổi thơ, được vỗ về trong những tình cảm nguyên sơ, chân thành nhất, để thấy mình luôn được yêu thương thật nhiều.  #VPBank #Vimotvietnamthinhvuong #Hoaxuanca #VTV  - Link video: https://drive.google.com/drive/u/1/folders/1BDfxVQsCrP7SvMmGpqkZCb2UjJrQaSa4",,,https://drive.google.com/drive/u/1/folders/1BDfxVQsCrP7SvMmGpqkZCb2UjJrQaSa4,,Bách
