time,page,sender_name,content,photos,videos,link,kdv,
2024/02/15,Chuyển Động Showbiz,Gia Huy Lưu,"Hết Tết rồi, vào việc thôi 👋🏻   The Next Gentleman - Quý Ông Hoàn Mỹ 2024 chính thức khởi động và nhận hồ sơ tuyển sinh online.",https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/426978211_800909982064279_5710123242354230413_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=zdn7PbQTXlAAX-9esa2&_nc_ht=scontent.fhan14-3.fna&oh=03_AdQFmCSM0Y8IFS3K2BRAYKriGKyykB3uQeP5vKjoRDApcg&oe=65FC8A2E ,,,Đạt,Duyệt
2024/02/15,Chuyển Động Showbiz,Gia Huy Lưu,"Trôn,… trôn Việt Nam chứ Chen ni phơ chưa có người yêu nha quý dị ơi 😂",,,,Đạt,Duyệt
2024/02/15,Chuyển Động Showbiz,Gia Huy Lưu, ,,https://video.fhan14-3.fna.fbcdn.net/v/t42.3356-2/425774028_25663532753237581_4413674691860930197_n.mp4?_nc_cat=103&ccb=1-7&_nc_sid=4f86bc&_nc_ohc=jwK4Z49SGOEAX9yIViD&_nc_ht=video.fhan14-3.fna&oh=03_AdR8WWE5-bNOjAj1BLu_PvcWk7IeWK_GmQrQv-foVtMjGw&oe=65D6BE11&dl=1 ,,Đạt,Duyệt
2024/02/15,Chuyển Động Showbiz,Gia Huy Lưu,Mai Tài Phến chính thức gia nhập hội “chỉ theo dõi mình em” ✨🥹,"https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/423454481_634409592144371_8346259814899394554_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=3NdtSs3l-zgAX9OobNw&_nc_ht=scontent.fhan14-2.fna&oh=03_AdSHjhbgi2gCN0qWVv-9JO_sidNPfgXOy_G2zyAsjVomIA&oe=65FC7A27 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/423472312_3688068821471031_4093752564046271969_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=-Gi6hYG7vtgAX8RM3ga&_nc_ht=scontent.fhan14-1.fna&oh=03_AdT9DhdVX0Kb0OE2a5lqf4VhXS76EPy4lJCEPaB0D0c30A&oe=65FC9507 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/422396493_910446250526276_6577256113477760599_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=gkXLyllJROAAX9Q8Q6S&_nc_ht=scontent.fhan14-1.fna&oh=03_AdS5wD7FDfQmmodLEUeEXiDw9EazM-Rtu6fyLNkuFVhbIA&oe=65FC73AF ",,,Đạt,Duyệt
2024/02/15,Chuyển Động Showbiz,Gia Huy Lưu,"Sau thời gian luyện tập và chuẩn bị cho hành trình đến với Miss World, Hoa hậu Huỳnh Nguyễn Mai Phương chính thức cất cánh đến đất nước Ấn Độ xinh đẹp vào ngày mai. Nàng Hậu sẽ có mặt tại sân bay lúc 15h00 ngày 16/02/2024 (tức mùng 7 Tết).",https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/427782215_428057786319737_3640622099061451965_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=9uOHA0u_aTUAX8cefOn&_nc_ht=scontent.fhan14-2.fna&oh=03_AdQkhWUpuvDnR3usMm7h9BjesFrLX3oK0-Vs7l0lWMpIVw&oe=65FC72FC ,,,Đạt,Duyệt
2024/02/15,Chuyển Động Showbiz,Gia Huy Lưu,Hôm nay chán áo dài elm diện bà ba dịu dàng xíu nha cô chú 😍,"https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/423036489_25239522275639212_3347652803947575061_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=lr4Bxn0P6zYAX-JpP0-&_nc_ht=scontent.fhan14-1.fna&oh=03_AdSAkVQ8ySiZo-aR3hXlLnAC1wrSMsEEF7cLgsxkPsnzHA&oe=65FC7E80 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/421397350_1336690510366275_4294453428505897104_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=Ljxrbfy6eQQAX_h8LNy&_nc_ht=scontent.fhan14-1.fna&oh=03_AdRGSa-CdVT2yZHGDuBDVFl5T4G5dgBalSwHk1r1DNwJfQ&oe=65FC74B1 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/426039997_235446796301934_5307475061773467276_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=YWnY_r69yLsAX-Lytnk&_nc_ht=scontent.fhan14-1.fna&oh=03_AdTpVij5HFCCY5sj4GdHYD3wWW2T__gsdJMkiZx2tmqQPQ&oe=65FC9399 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/426808592_1054016228989281_7895323643091225051_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=QJD9QYjZRhgAX_tkPwV&_nc_ht=scontent.fhan14-1.fna&oh=03_AdTkOYtyFP10Y0gs1-rR64lLtj87ZmVkhwBz2Crwc1IY7w&oe=65FC8000 ",,,Đạt,Duyệt
2024/02/15,Chuyển Động Showbiz,Gia Huy Lưu,Người ấy là ai ai ai? Truy tìm chàng trai sánh vai cùng Jennifer dịp đầu năm mới 😍,"https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/423903632_770223557828282_1068887531174157366_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=PUDtnR0zdsoAX8YV5Nv&_nc_ht=scontent.fhan14-3.fna&oh=03_AdSYKdA5dOFLtqLMNFuUa3T4sAxb-m-YTgyv_onuiCpuaA&oe=65FC9A65 
https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/423766493_461861762837615_7752863704842040704_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=yw-exe-QIa8AX8tupp7&_nc_ht=scontent.fhan14-2.fna&oh=03_AdSL2nIL9vR4YiK7uZHDIxJnB6Qv5NL7TvtlUUyJqTEXLA&oe=65FC90AC ",,,Đạt,Duyệt
2024/02/14,Chuyển Động Showbiz,Gia Huy Lưu,"🎊 ĐÔNG NHI - ÔNG CAO THẮNG THÔNG BÁO CÓ CON THỨ HAI NGAY DỊP VALENTINE 🎊  Nhân dịp Valentine năm thứ 15 của hai vợ chồng. Mới đây trên trang cá nhân Đông Nhi thông báo tin vui đặc biệt ý nghĩa vì gia đình nhỏ chính thức có thêm thành viên mới 😍  Còn em bé Winnie thì phấn khích suốt 3 tháng qua vì được ""lên chức"" làm chị 🥰 Mong chờ rồng con của ba Thắng mẹ Nhi và chị Winnie 🫶🏻","https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/426097983_856619876265525_1776553953539601859_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=jaLif-w63XcAX8aADk0&_nc_ht=scontent.fhan14-1.fna&oh=03_AdQTc6PNERzkaz82YkCE5kkBsD_hrl2KxnKT_jgFFXStLg&oe=65FC6985 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/418328349_871929008063859_6302745551380352782_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=h0_X2abXLR8AX8MuDhO&_nc_ht=scontent.fhan14-3.fna&oh=03_AdQFOVROq-x9lQB2l9hFzCQs5j-WPTGOsVH6I7dhXsfuyQ&oe=65FC95FD 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/426122181_230450296804008_3559196526097896886_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=sixcMH3lPDEAX845XiB&_nc_ht=scontent.fhan14-1.fna&oh=03_AdS8Zh35yEhBEGNOtbvhy1QGZ2ndpWAJqXLNNzc3Bc2qvA&oe=65FC8039 ",,,Bách,Duyệt
2024/02/14,Chuyển Động Showbiz,Gia Huy Lưu,Minh Tú chia sẻ hình ảnh Valentine  hứa hẹn năm mới cùng vị hôn phu. Fan đang mong ngóng chị Liễu lên xe hoa hơn bao giờ hết rồi ạ 😍,"https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/426808593_629616669295451_563589294788340457_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=w_l6J7MWUBsAX-Q2Pl6&_nc_oc=AQnyMnlomSbgZzbKCzmoLzI8_ysuPFDf4x_I7TYMI10G6YgK8E7_VKSvGLpxxtRtXgQISOoxcZcO72E7_D5CYyyf&_nc_ht=scontent.fhan14-4.fna&oh=03_AdRG4_19lPNRrf0JX2ykVZ1xEFFi8tT6gfXC1FpOaOTMOw&oe=65FC9040 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/428016954_1188980982072985_4436091271940514709_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=caubS9k-auoAX-NtoWa&_nc_ht=scontent.fhan14-1.fna&oh=03_AdRa_bBd2a6uAAul_Q9bKNpSZQMTSRUUDxOKeM89qemaAA&oe=65FC79BD ",,,Bách,Duyệt
2024/02/13,Chuyển Động Showbiz,Gia Huy Lưu,Thích cái cách anh ấy tương tác khi thấy post hình ảnh của chính mình 😂,"https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/426886939_261194297017550_786011071852908488_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=M7fjRmGJtMQAX93b8x2&_nc_ht=scontent.fhan14-1.fna&oh=03_AdSp4ER-hnvUVvqIveNIMvKerSYwVK_KFh0Hrs7wdq6nSg&oe=65FC8524 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/426724457_7216209358469127_2345261696673741505_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=u5d0kogK0LcAX_MZ8k5&_nc_ht=scontent.fhan14-3.fna&oh=03_AdQQqHIx9VGqDGLcnmkbMd3_JBRRKfRGsvl_vrqu8xF3VA&oe=65FC6C15 
https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/426256730_342424618776530_1420794145346617156_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=tiRWZnbmmUgAX-t-OVw&_nc_ht=scontent.fhan14-2.fna&oh=03_AdSl15XzZ_MevEO166G_I99I9hjCL0E7tHGR-G3Jv76l6w&oe=65FC8A29 ",,,Bách,Duyệt
