time,page,sender_name,content,photos,videos,link,kdv,
2024/02/15,Kiến Không Ngủ,Huyy Anh,"Đây là bức ảnh đẹp nhất mình chụp được trong dịp Tết vừa rồi.   Hai người con trai, một người 61 và một người 64 tuổi, đang bế bố của mình lên để lau rửa, thay bỉm và mặc đồ cho ông.   60 năm về trước, hẳn người bố đang được bế kia cũng đã từng bế ẵm những đứa con của mình như vậy. Giờ người bố nay đã 98 tuổi, không còn nhận ra các con, không thể xuống giường, không thể tự chăm sóc mình, đã được các con thay phiên nhau ngày đêm chăm sóc.   Chúng ta không sinh con ra với suy nghĩ trẻ cậy cha già phải được cậy con. Nhưng sự thật là như vậy, đúng là chúng ta có thể cậy nhờ con được.   Chúng ta thường nói muốn cho con một cuộc sống tự do không phải vì mình mà bó buộc. Nhưng một đứa trẻ nhận được tình yêu lớn lao của cha mẹ không thể sống an ổn nếu nó thấy mình không hồi đáp được phần nào tình cảm nó được cho.   Mình đã 30 tuổi rồi, nhưng bố và bác mình vẫn đang tiếp tục dạy mình bài học về làm cha mẹ, chỉ bằng cách hai người đã cho mình thấy thế nào là làm con.  Trẻ con ăn để lớn lên.  Người già ăn để duy trì. Trẻ con được hỏi có biết ai đây không Người già được hỏi có nhớ ai đây không  Trẻ con thu nạp mọi ấn tượng trong đời  Người già bỏ bớt những gì mình biết được vào vùng đất quên lãng.   Những ngày Tết mình thường không đi đâu mấy, chỉ loanh quanh ở nhà, nhưng cảm thấy như đã nhìn được cảnh tượng đẹp nhất thế gian.  | Chị Phạm Thảo Quỳnh Mây. @Inside The Box",https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/428195490_1795275394227556_2089996009809264698_n.png?_nc_cat=101&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=WKDnOvxnNIoAX9VynKi&_nc_ht=scontent.fhan14-1.fna&oh=03_AdRE3b_DiS9z777QeemlyHQQ8-5zoL_kFQrDKKvKZgvycg&oe=65FC840C ,,,Bách,Duyệt
2024/02/15,Kiến Không Ngủ,Thu Trang,Điều gì bạn nghĩ là thật tệ khi còn nhỏ nhưng lớn lên lại thấy nó thật tuyệt vời?,,,,Bách,Duyệt
2024/02/15,Kiến Không Ngủ,Huyy Anh,...  - Kiến Psycho -,https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/428001141_718535167080504_8987748679302379493_n.png?_nc_cat=102&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=bXzdBubZGFoAX_mwDSi&_nc_ht=scontent.fhan14-4.fna&oh=03_AdQrg_LUTZgXXBnReJ3eAbbGJFSnAs0MCxjuorj4jB-QJQ&oe=65FC6DDF ,,,Đạt,Duyệt
2024/02/15,Kiến Không Ngủ,Huyy Anh,[Ảnh hơi dài],https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/428047756_874701021075077_3808544397980383016_n.png?_nc_cat=105&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=Ao3vgDKc1mAAX9iBqGf&_nc_ht=scontent.fhan14-1.fna&oh=03_AdSGK8Ed_FH1HvKFW1aVSMU4pWCMipJJy0ad4lI2aRgDFw&oe=65FC72FC ,,,Đạt,Duyệt
2024/02/15,Kiến Không Ngủ,Thu Trang,:))),https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/428013209_1149159472751109_8698894132238330858_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=IeVVAddB5XMAX-XZ2GQ&_nc_ht=scontent.fhan14-3.fna&oh=03_AdQYCJXsieTw13Iht8LkhAxxjAtbKc8LYQGPu36XmMkvnQ&oe=65FC97BE ,,,Bách,Duyệt
2024/02/15,Kiến Không Ngủ,Thu Trang,Ai cũng có 1 người bạn cái gì cũng biết,https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/427971756_1108917257118268_660521682710653303_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=cyHpzx5Q7n8AX-LWqy3&_nc_ht=scontent.fhan14-1.fna&oh=03_AdRE46qBKaSQMA2Y2wWMVYW1As0YUg2BSwQ5lonMjgNWaw&oe=65FC81FA ,,,Bách,Duyệt
2024/02/15,Kiến Không Ngủ,Thu Trang, ,https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/428149990_1052639329174418_5692049616986550592_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=pM4HS7HkbVwAX8CZhMn&_nc_ht=scontent.fhan14-1.fna&oh=03_AdQk2GB3cTHUyfzMvNjj8kqMAUvPdcWtYyWd8rDfIh_pRg&oe=65FCA07F ,,,Bách,Duyệt
2024/02/15,Kiến Không Ngủ,Huyy Anh,Có 2 ông nhõi làm cái meme trên hành lang trường. Xong nổi tiếng quá nên trường họ vinh danh luôn =))),"https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/421843913_1900515243716351_8332102023280602980_n.png?_nc_cat=102&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=K8s3desDRkQAX_ckzUw&_nc_ht=scontent.fhan14-4.fna&oh=03_AdRddeTB0BzZI24b2wqnFlFHmdT1D-ZogLdxtBsm_FmJUA&oe=65FC7A9D 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/363592206_991580001936165_8884255782100314978_n.png?_nc_cat=111&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=wnD8x_Q45esAX87k_ja&_nc_ht=scontent.fhan14-1.fna&oh=03_AdTqusFuiKmskIdZyZ-6s8NwH9nKRPipI0p4JdYBahPxOQ&oe=65FC7054 ",,,Empty,Duyệt
2024/02/15,Kiến Không Ngủ,Thu Trang,Sự tích con thú mỏ vịt,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/421825647_372859199018868_7401528219588995778_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=46VEyeZEEa4AX_EUtzZ&_nc_ht=scontent.fhan14-3.fna&oh=03_AdSsj2sbV0LbvwOhCkjc5KJ4zkf9jFJ7Ia4ff-hDZxr-YA&oe=65FC8D6A ,,,Empty,Duyệt
2024/02/15,Kiến Không Ngủ,Thu Trang,=)))))))))))))))) tha cho cô ta đi,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/428226536_731369785765465_7958802282095520102_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=APt_nQdLu5IAX--5a3W&_nc_ht=scontent.fhan14-3.fna&oh=03_AdT6eQRlSvYiNctvRODKKYOGxj0KEru-RFSpB5Ch8Ajruw&oe=65FC9AC9 ,,,Đạt,Duyệt
