time,page,sender_name,content,photos,videos,link,kdv,
2024/02/15,Showbeat,Phương Nga Lê,"🔥 MÊ CÁI CÁCH GIA ĐÌNH NSND CÔNG LÝ CƯ XỬ VĂN MINH SAU LY HÔN  Những ngày đầu xuân năm mới, Cô Đẩu Công Lý khoe ảnh xum vầy bên Tít và Thục Anh. Bên dưới, MC Thảo Vân và người vợ hiện tại của Công Lý cũng để lại những bình luận thân thiết và ấm áp.   Trải qua 2 cuộc hôn nhân không trọn vẹn nhưng các con của anh vẫn luôn thân thiết với bố và ông bà nội. Có thể bố mẹ không còn bên nhau nữa, nhưng các con vẫn luôn có một gia đình 🫶",https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/423105524_7351958558198541_3617756624608012201_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=KcbrjdW_j0EAX8GBpiM&_nc_ht=scontent.fhan14-3.fna&oh=03_AdSFn1etuUejrlORVbE_Z0jHxpuAmVfyrQUUHPuMxyYMyQ&oe=65FC9AE8 ,,,Bách,Duyệt
2024/02/14,Showbeat,Phương Nga Lê,Pamela Hải Đường đã có giao diện má bánh chưng trong bản cập nhật sau Tết ❤️ Trộm vía elmmm 🫶🫶🫶,"https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/416491834_1608982539897853_2045691522435616166_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=JbiEZq6aDo8AX-9DgWf&_nc_ht=scontent.fhan14-1.fna&oh=03_AdRgISUTY0Y-PXnDSdjtno1kKB8ivn7QdsCLAxufNzts0w&oe=65FCA333 
https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/423599896_692879872926188_3262127605952048097_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=RQYTGxbVyFoAX-ePj9B&_nc_ht=scontent.fhan14-4.fna&oh=03_AdSdWB40Wk16r7cLG3vzhvSjaqhgHyXmdToKpJ8-85JO0w&oe=65FC81F8 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/426362794_409598951727475_6397671730177188011_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=su6vuHWQVhEAX84yBHR&_nc_ht=scontent.fhan14-1.fna&oh=03_AdTQvy6YMVPGSTfd708isZICG9bNPdzfOUsq5RTOJxYrCw&oe=65FC7946 ",,,Đạt,Duyệt
2024/02/14,Showbeat,Phương Nga Lê,"🔥Valentine cảm lạnh của gia đình nhạc sĩ Hoàng Bách 🥲  Nói vậy có vui chứ chị Thanh Thảo vẫn công nhận anh Hoàng Bách là tri kỷ, là may mắn lớn nhất chị có được nên mấy kiếp cũng nhận hết 🫶",https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/423454743_945596950517835_9026309058907385134_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=jMC4q2uIHb0AX-ynhps&_nc_ht=scontent.fhan14-3.fna&oh=03_AdTooYgIJs39sqIrl5Wi9MNpbUaawDYlIdlb2oaA12VZkw&oe=65FC75C6 ,,,Đạt,Duyệt
2024/02/14,Showbeat,Phương Nga Lê,Đến hẹn lại lên,https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/423221386_1081554289781635_4241558749028839146_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=1j-4i6BiguAAX8eYQ0m&_nc_ht=scontent.fhan14-1.fna&oh=03_AdR8GcxTG8XufLvLe_jibkEpzRRC1E1bwTC_luaklEXVsw&oe=65FC80B0 ,,,Đạt,Duyệt
2024/02/14,Showbeat,Phương Nga Lê,"🔥THÌ CŨNG BỞI CÓ PHẢI CÁI GÌ MUỐN TẨY LÀ TRẮNG ĐÂU ☹️  Trong lúc đang livestream thấy bình luận khán giả nói mình tẩy trắng, Hiền Hồ bất lực nói:  ""Nó là nguyên cái vết ở đó rồi, bỏ qua được thì bỏ qua, không thì thôi chứ em chịu rồi đó, em không tẩy trắng em phải sống cuộc sống của em chứ sao? Mọi người dùng từ nặng quá vậy?""  Trước đó Hiền Hồ từng bày tỏ mong được cho một cơ hội để làm lại, nhưng nhận lại vẫn là sự gay gắt của CĐM. Nữ ca sĩ cũng cho biết sẽ sống thật với cá tính của mình hơn, thay vì lúc nào cũng sợ sệt, giữ hình tượng.",https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/423105752_1494129071150961_8419851491513685188_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=_b0WzRRYeD8AX9wICRu&_nc_ht=scontent.fhan14-1.fna&oh=03_AdQKCJL6qBQAE3y4DBpyyHcz6jKO1ZWv_RDHYHUUxOk0wQ&oe=65FC7DA4 ,,,Bách,Duyệt
2024/02/12,Showbeat,Phương Nga Lê,🔥Thành tích của 'Mai' góp phần đưa Trấn Thành trở thành đạo diễn - diễn viên đầu tiên có doanh thu nghìn tỷ từ phòng vè Việt Nam.  Bố già: 395 tỷ đồng Nhà Bà Nữ: 459 tỷ đồng Cua Lai Vợ Bầu: 130 tỷ đồng Bệnh Viện Ma: 44 tỷ đồng Mai: 50 tỷ đồng  Ai xem phim rồi cho xin tí review chân thực đi ae,https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/423454553_1539527840166055_8136105455908630966_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=AZ2X2lljEUUAX_0OHYo&_nc_ht=scontent.fhan14-4.fna&oh=03_AdShBTh_o0d-GNxY1FhHkPsZgHStCrQSznREUppe2vu1RA&oe=65FC9863 ,,,Bách,Duyệt
2024/02/12,Showbeat,Phương Nga Lê,Quay chụp cái gì? Chưa thấy ngoan xinh yêu dặm nền bao giờ à?,https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/416269133_6118983258226600_4826321057218487017_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=rY06n-etYzsAX8TT8C-&_nc_ht=scontent.fhan14-4.fna&oh=03_AdROQJ-k7ljH_7qNTyWIV-MbOcVn_YIFjYRWVkeuY7xWUA&oe=65FCA16E ,,,Bách,Duyệt
2024/02/12,Showbeat,Phương Nga Lê,"Bỉ ngạn hường, đầu năm đã lươm 🥲","https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/426349825_776930014293605_6873085568714423665_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=cCrqVQb4Q-gAX-j4wxB&_nc_ht=scontent.fhan14-3.fna&oh=03_AdSTNQReTPrpVKAVnLFCDiMpaeonDbsW_fIwHJnR3acnYA&oe=65FC6E74 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/417633932_777860980854632_7815165766945163986_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=3R4N-yCiiL4AX9Qv0RB&_nc_ht=scontent.fhan14-1.fna&oh=03_AdR8VWsYTv2KRnsi9nkWt5TgujGQ40Vu-r5OmJ1Me1pZow&oe=65FC753C ",,,Đạt,Duyệt
2024/02/11,Showbeat,Phương Nga Lê,🔥Câu chuyện của gia đình có 4 người con. Mấy ngày này bạn bè BTV Quang Minh chắc áp lực lắm...,https://scontent.fsgn2-9.fna.fbcdn.net/v/t1.15752-9/423063117_1052439699319722_2082533333992908646_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeGp0lCW3Kjju0o4VnA2LxrXdL8G3HAnGOJ0vwbccCcY4hBEsiKuEUJlHDYdQpaROhlsBk3PdFxQPq0TQaM4whrq&_nc_ohc=hYmk9DcWEi0AX8mrfdI&_nc_ht=scontent.fsgn2-9.fna&oh=03_AdRiaHSsmLQKOD869xLI35kQwonLy_fXB07A9XpPxRQBCg&oe=65FACA30 ,,,Đạt,Duyệt
2024/02/10,Showbeat,Phương Nga Lê,Đến giờ rồi anh em,https://scontent.fsgn2-10.fna.fbcdn.net/v/t1.15752-9/422926816_1824852564630514_1395736225886008004_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeHTZcgYK_5YQBJlm1bgWCOrkvb5Nh9fcsqS9vk2H19yyuaX1iLA9oaxS5LVIaYViAXdYP_e-X_sm_f_ZQINP0ph&_nc_ohc=e0PssUN4kM8AX-zc0g2&_nc_ht=scontent.fsgn2-10.fna&oh=03_AdTD_EMFSEU3W8OOa9HRT-7eLMae-HKRdPlA5oXRQDqLuA&oe=65FAC679 ,,,Bách,Duyệt
