time,page,sender_name,content,photos,videos,link,kdv,
2024/02/15,Tám chuyện Showbiz,Thuỳ Linh,"💥Tun Phạm lên tiếng cực gắt khi bị nói ch:ê tiền lì xì của Đức Phúc, Hương Giang sau video công khai bóc bao lì xì‼️  Cụ thể, Tun Phạm khẳng định không hề ch:ê lì xì của Đức Phúc, dành lời ""hỏi thăm"" đến những người đăng bài không đúng sự thật: ""Tôi ch:ê câu nào thì up lên để tôi xem. Từ bé đến tôi luôn đóng vai hoa hậu thân thiện, gặp ai cũng khen, thậm chí khen nhiều đến mức bạn bè còn bảo đừng khen nữa. Vậy mà còn bảo là tôi đi chê, đừng có nh:ồi nh:ét chữ vào mồm người khác như thế chứ? Tôi chưa bao giờ đi ch:ê ai luôn đấy!"", Tun Phạm bức xúc chia sẻ.","https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/421915351_7276132895759238_926848507761706309_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=U4CZ0tEN9c4AX8XO750&_nc_ht=scontent.fhan14-1.fna&oh=03_AdSeBPZmsfUgmoqUE6hi62_v5i7Rf9mza-kuK-WgBtUHKA&oe=65FC8D57 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/428032708_1568235627277901_6369679011161374205_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=QZIEct1FogkAX-lBZkj&_nc_ht=scontent.fhan14-3.fna&oh=03_AdRlrrY734_LLI0KPmgZF18ch9gXfMJupYjl8GMiSj1LiA&oe=65FC723C ",,,Bách,Duyệt
2024/02/15,Tám chuyện Showbiz,Le Ngoc Tuyen,Phong cách “girl xăm trổ” của Min dạo này 😍,"https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/423147619_1211070876540607_4339087142427948293_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=YKxMpy-fP1oAX_t1tf-&_nc_ht=scontent.fhan14-1.fna&oh=03_AdTaYfvX9FBoqa5myu53ulSyzkK-KF1jETOeq-_CKNwg2g&oe=65FCA0B0 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/423062731_7193451250704367_3331011957894882282_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=b_3Kth5Ie9QAX_Z6UIr&_nc_ht=scontent.fhan14-3.fna&oh=03_AdTHEJ8X-8pNnRZFR2Od7pX1nlJU9bA9i6UJQ_MQ7zP5XA&oe=65FC7166 
https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/423422696_1146292766363364_2512684220927033379_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=5V4IKccqbKwAX_9L550&_nc_ht=scontent.fhan14-2.fna&oh=03_AdQZwnWZ35jkl7w8UD2EPIIV04xSRbaB5o9LV1k0ZUv4DA&oe=65FCA0FE 
https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/422949475_356589337208923_6927811939779770380_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=FqI4MrfK3sQAX9kLC8t&_nc_ht=scontent.fhan14-2.fna&oh=03_AdRlCtJ4kijOEEaekrrrMUzZU6VcbWx2iB8-dXrPEKqs4g&oe=65FC6BDD 
https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/423036222_1567361370692568_4973823594363861174_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=byfQfIbaLY8AX8DGjsp&_nc_ht=scontent.fhan14-4.fna&oh=03_AdRcEUE07lwANJ5CimydbETpEyqmAtdXnokxr6OSLf3-7A&oe=65FC7094 ",,,Đạt,Duyệt
2024/02/15,Tám chuyện Showbiz,Thuỳ Linh,MR.ĐÀM ĐÃ CĂNG?? 🚨  Không rõ ai ghẹo gì anh nhưng để mùng 6 Tết mà đăng cái stt dằn mặt cỡ này thì chắc cũng tức lắm òi 🤧 Thương thương,https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/427777711_1079204466647462_5493139972670770429_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=oMlLbE7N8BAAX9mH4tI&_nc_ht=scontent.fhan14-1.fna&oh=03_AdTpuoEF02RQ9j8_yr1P3FgyL8ogQ0O5rzpvGEoSGzJ6qA&oe=65FC9E35 ,,,Đạt,Duyệt
2024/02/15,Tám chuyện Showbiz,Thuỳ Linh,"Bé Gạo -  Ái nữ nhà Công Vinh - Thuỷ Tiên gây sốt vì nhan sắc xinh xắn dù chỉ lộ nửa gương mặt đã thấy mũi cao, da trắng, môi trái tim,  chân cũng dài giống mẹ luôn. Lớn lên sớm muộn cũng là một mỹ nhân ❤️","https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/428106220_839163778019930_505539418781348091_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=Qfhm1EYJoOUAX-qfExe&_nc_ht=scontent.fhan14-3.fna&oh=03_AdR1n128Eppq9C5o2vylLZ0XIp-l6Tlnh_oZX9ubcUOwxQ&oe=65FC7EE0 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/422169711_1798407087342525_7832812488090449526_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=HZfNEuGG5cMAX9Gccyq&_nc_ht=scontent.fhan14-3.fna&oh=03_AdS9_cpuyt1x6vV6ZWsL2UOimW7UtW9T0WIagR9xWTSIwQ&oe=65FC7B72 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/427771328_1561857274548907_5944704499456181492_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=0XfIj0poPpsAX-lHqqy&_nc_ht=scontent.fhan14-1.fna&oh=03_AdQIGA7-uPcYHOp7CsJ7Gnt6IOdhNAJtS10mM5KGqs6B8g&oe=65FC75E0 
https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/422961600_344269821930225_3114838570474019820_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=9jiTQBa9YGIAX_dx5dv&_nc_ht=scontent.fhan14-4.fna&oh=03_AdRCZarDgiA-jvM8QRPmibnhPms7lgOFfMA8BnR0xwmnUQ&oe=65FC9913 ",,,Đạt,Duyệt
2024/02/15,Tám chuyện Showbiz,Thuỳ Linh,Đông Nhi chia sẻ video cảm xúc của Ông Cao Thắng lúc được tặng món quà giáng sinh đặc biệt nhất ❤️ Lần 1 và lần 2 đều cùng 1 biểu cảm đó 🎁💋,,https://video.fhan14-1.fna.fbcdn.net/v/t42.3356-2/426872666_7950706838277563_1382360304587458677_n.mp4?_nc_cat=107&ccb=1-7&_nc_sid=4f86bc&_nc_ohc=tTAgiMtCg9QAX8v-P6t&_nc_ht=video.fhan14-1.fna&oh=03_AdSNzNTDvTictuPztBbGAOKjD8-SWNR4Y7-edsTNkm5Y8g&oe=65D6663D&dl=1 ,,Đạt,Duyệt
2024/02/15,Tám chuyện Showbiz,Le Ngoc Tuyen,Ăn Tết xong thì bầu má ấy lại càng giống Shin hơn 😂,"https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/423036441_379810808019343_2171201248986554964_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=K8BVgYugU3sAX9xmITz&_nc_ht=scontent.fhan14-1.fna&oh=03_AdTfvahAEX7-ZsLgaE9ApiGWfmn7gdZqO3Zs3CUUgq3RzA&oe=65FC9227 
https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/423105923_7968769169806742_7537693390244506529_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=PMVA3clvI2AAX9RDGh-&_nc_ht=scontent.fhan14-4.fna&oh=03_AdQmF6-SHJrBaPdTpg8FEbpKuqzEpqGnBVRJGNyqOz7g3Q&oe=65FC9876 ",,,Đạt,Duyệt
2024/02/15,Tám chuyện Showbiz,Thuỳ Linh,"✨""TRẬT KÈO"" VỚI KỸ SƯ LƯƠNG THÁNG 100 TRIỆU, CÔ NÀNG 2K2 ĐĂNG ẢNH QUÀ VALENTINE KHIẾN DÂN TÌNH CẢM THÁN: QUÁ TỐC ĐỘ!   Câu chuyện mai mối chàng kỹ sư Minh Đức lương tháng trăm triệu và cô nàng Ngọc Lan 2k2 xinh xắn trong show ""Bạn muốn hẹn hò"" từng gây b.ão CĐM tiếp tục khiến dân tình dành sự chú ý. Khi vào tối qua, dịp lễ tình nhân Valentine, Ngọc Lan đăng ảnh ẩn ý được ""ai đó"" tặng quà.  Netizen khá bất ngờ trước ""tốc độ"" này của cô gái, tuy không tag người tặng hoa và quà nhưng nhiều người cũng đoán rằng đây hẳn là người theo đuổi Ngọc Lan hiện tại.","https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/423036194_1142962970199678_28270768669143068_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=j2Mf03VPUNYAX_aWCrn&_nc_ht=scontent.fhan14-3.fna&oh=03_AdSX643fDMp47Qj5g2yZD7FF9KT2dL1zSRyyBfKjVVzslg&oe=65FC6ADB 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/428341385_1126581445170011_6169317824820687506_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=R2F0JM1cuqQAX8DJLwj&_nc_ht=scontent.fhan14-1.fna&oh=03_AdQqyT1LxH1XhVH3bNZwNtayQcKlLU26r8OZSJPZCtHZMw&oe=65FC867E 
https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/423036397_7498798050154633_8284768081387368882_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=GrqhlYdgTIkAX9MPZZK&_nc_ht=scontent.fhan14-2.fna&oh=03_AdT-0v93431xndWnDTVx2ySylkU8Ya4JJ-CFY65F8BtIEg&oe=65FC8A48 ",,,Đạt,Duyệt
2024/02/15,Tám chuyện Showbiz,Thuỳ Linh,"CHÚC MỪNG SINH NHẬT ORANGE 15/2 🎂  Ong Bây Bi thấm thoát nay đã 27 tuổi rồi, chúc chị đẹp năm mới ra thêm nhiều bài hay hay và không còn bị dị ứng sưng mắt nữa chị nhé 💐","https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/427715229_903173974844080_6558906458236620429_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=vCtrzhsg5ggAX-vFRMV&_nc_ht=scontent.fhan14-1.fna&oh=03_AdRKpQXSXxY92fvtS14hGhY5_fUVqdak_uQlacmgc9ZdlA&oe=65FC9813 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/421626906_1124510735649049_4273545813260688600_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=SZyy9kUw34UAX-a8jv9&_nc_ht=scontent.fhan14-1.fna&oh=03_AdQ7aYZEiJPjetE0wjGCHOsNme1JOCA4gaXXh4pIPECyFw&oe=65FC7268 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/422954540_7237988636243905_9108637710161169042_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=91iqmysj7vwAX-rxqO2&_nc_ht=scontent.fhan14-3.fna&oh=03_AdSlauR84OBlaf33wQWyOHHHBvaZE4ikWTgXWFfnq3rLLw&oe=65FC9D1B ",,,Bách,Duyệt
2024/02/15,Tám chuyện Showbiz,Thuỳ Linh,"CHÚC MỪNG SINH NHẬT ORANGE 15/2 🎂  Ong Bây Bi thấm thoát nay đã 27 tuổi rồi, chúc chị đẹp năm mới ra thêm nhiều bài hay hay và không còn bị dị ứng sưng mắt nữa chị nhé 💐",https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/427997422_945314993877978_2602697101008499664_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=ytP6gcUQHvEAX__7aYA&_nc_ht=scontent.fhan14-1.fna&oh=03_AdQXdqHsy17sUtQ5IAmG2ubYB2bNtWb2sVNHS-OU6s5KTQ&oe=65FC703C ,,,Bách,Duyệt
2024/02/15,Tám chuyện Showbiz,Le Ngoc Tuyen,Quỳnh Thư chính thức nhận lời cầu hôn tại Paris nhân dịp kỷ niệm 1 năm yêu 😮   Đức Phạm Quỳnh Thư cũng chỉ là thoáng qua nhau 😮‍💨,"https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/423221546_1355961031703229_3166176633771558549_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=vtxZhGdWIyIAX9RjNLy&_nc_ht=scontent.fhan14-1.fna&oh=03_AdRtdaXs5L0e2gCtZMzuvfC8jNbDKdXnrnZGYVp0Hv5Shg&oe=65FC7991 
https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/423105571_1340451703339380_4425407994377175887_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=_ijXMkr0QAwAX9Eu0SZ&_nc_ht=scontent.fhan14-2.fna&oh=03_AdR81XVHkouH8rrkSfe_qKsqRELricE_NsXVsR3Rgzrtcw&oe=65FC8549 
https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/423422380_2341710559368706_5856331512510125932_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=OaQR9yWHC0AAX9-fUqi&_nc_ht=scontent.fhan14-4.fna&oh=03_AdTgfmnN2bw8ESWDbctiarWvPn_HVAPOXAdcor0RpsBNjQ&oe=65FC7EB7 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/422954540_6779067575531037_4290774044902982337_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=7NQrrXXyJt8AX9rawPZ&_nc_ht=scontent.fhan14-3.fna&oh=03_AdRT3JK0bQu7DhKRH7AF2S7UXewZBY43NVQd4LyniSd1Jw&oe=65FC79AB 
https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/423105685_2646606252174014_3712482464690914875_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8cd0a2&_nc_ohc=L1N5f1zLLZoAX8C7MMg&_nc_ht=scontent.fhan14-4.fna&oh=03_AdQPRUgJilRSBOslkvurITjUuQ0g-FPvxcwXdNgT1P0GOg&oe=65FC7997 ",,,Bách,Duyệt
