time,page,sender_name,content,photos,videos,link,kdv,,,
2024/03/14,Chuyển động Showbiz,Đào Hửu Nhơn,"✨❤️ MINH TÚ VÀ CHỒNG SẮP CƯỚI HƠN 10 NĂM TÌM HIỂU VÀ YÊU NHAU - SUÝT CHIA TAY VÌ KHÓ SINH CON  Minh Tú và vị hôn phu đến từ Đức từng là bạn thân 10 năm, anh là người chứng kiến cô đi qua những thăng trầm của cuộc sống. Tuy nhiên có thời gian cả hai mất liên lạc. Đến năm 2018, Minh Tú và Chris tình cờ gặp lại và cho nhau cơ hội tìm hiểu đối phương. Tính đến thời điểm này, cặp đôi có 5 năm hẹn hò.   Trong hành trình gắn bó, có lúc Minh Tú và chồng sắp cưới cũng trải qua sóng gió. Cách đây ít năm, Minh Tú phát hiện bị lạc nội mạc tử cung, cô rất áp lực mỗi khi nghĩ đến chuyện con cái. Thời điểm đó, Minh Tú chọn cách chia tay để bạn trai tìm một người khác xây dựng hạnh phúc. Thế nhưng, Chris vẫn chọn ở bên cạnh Minh Tú, anh dành nhiều lời động viên tinh thần và giúp nữ siêu mẫu vượt qua mặc cảm bị bệnh.  #chuyendongshowbiz #queenmode","https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/431447613_391537186957118_7332183916427709321_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFwfNCW0-Qd2xLLmMCteedmg0szZ-_ouYeDSzNn7-i5hxt8hmI1rsElEqrvRYgJ99EWwbfd-C-SzrBeX932-cg9&_nc_ohc=_xyOEiM-y7YAX-sAnq9&_nc_ht=scontent.fhan2-3.fna&oh=03_AdQXE0ZOSlb0YYdMuIGgoMyW5awv504g5Mj79RpnBf-9tA&oe=661A3872 
https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/431484258_7599821726718904_632065196698335426_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeG5-HqGNA7CAKKCkpHSKo5azcYEf4BarM3NxgR_gFqszZLFIN-2hHbA4rx5vec9v6rCJIZdfvyL6I_I-SjQrz0c&_nc_ohc=HiJstVFyqW0AX9ZPMjh&_nc_ht=scontent.fhan2-3.fna&oh=03_AdQ7cxsxuUH1PRpeHUXHUpJqxm4j9znaG1OHtwhigLV9Vw&oe=661A1D89 
https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/431387285_386734364146547_1224538057340971656_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeE6aXeIm2DA3n1hOouVbTjeYhqqLsAyN5BiGqouwDI3kCfSbA_EPLLOzC_PGeU1F1yRTDSGS_4FcGv3cAZHQN7f&_nc_ohc=0gPJ6h6ozGAAX_GcrXj&_nc_ht=scontent.fhan2-3.fna&oh=03_AdQD-ZE3AkPCsvP5uHjKJg7F4jsfW_yDAwe8I_zrOoDbKQ&oe=661A1C25 
https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/431398394_1412272049412220_6747393070491105587_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEcwQIRRu_savX29jSQnSX-gG3Tl1cCQz-AbdOXVwJDPyEojKSDFAKYf0q2xfWWpjuBhECt9ypdtGm3jDlz7CDH&_nc_ohc=XStBQhrASNIAX8BbNqu&_nc_ht=scontent.fhan2-4.fna&oh=03_AdSeOmdPvGrDPmA2V0ewsVw0tpGj8C7Rs7t2OivZqEuDjA&oe=661A1A80 
https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/431460508_390300643707946_4392995910205104408_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGtLLHyyik7iIEZdgkrNAajRLirf91slC5EuKt_3WyULvDBOQOn64M9WSqeIsk6oe0V54l60xDLtOwN6dF2gDuF&_nc_ohc=yXwCBFuyCYoAX8rEi4x&_nc_ht=scontent.fhan2-3.fna&oh=03_AdTqDBRauf6BgpeU6dnvyrNVehNUN4pZSuk9x9FYunWnwQ&oe=661A2062 
https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/431617722_956868156038320_1167318105252267858_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeH1bPLpbET2ATcNkCOkEuHCMZ5JBwnr5H0xnkkHCevkfWGPT58u6WYALJIG8UdLd3Jk-1BsyvgXdnVWXuifbPIn&_nc_ohc=-_EYSoiHaeAAX9CDCWH&_nc_ht=scontent.fhan2-4.fna&oh=03_AdQCGjbG8nVzklAIA2zY_C8xo1xzQAavOlNslN6_AmGUkg&oe=661A3D3B ",,,Đạt,Duyệt,,
2024/03/14,Chuyển động Showbiz,Đào Hửu Nhơn,"❗️🔥B Trần và Quỳnh Kool gây chú ý khi có tin đồn hẹn hò sau khi họ đóng chung trong bộ phim ""Chúng ta của 8 năm sau"" được phát sóng trên VTV. Gần đây, một đoạn video được ghi lại cho thấy cả hai đi chơi riêng tư với nhau.  Sự tương tác mượt mà trên màn ảnh cũng như sự thân thiết ngoài đời đã khiến nhiều người tin rằng họ có một mối quan hệ thực sự và không chỉ đơn thuần là ""phim giả tình thật"".🥰  #chuyendongshowbiz","https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/418447522_707026121638814_5428417448006060948_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeE1wnqXnOViaVRJp0efjOEOPk_P8fSLf6g-T8_x9It_qFttYEUmHrFlIsVuXbbl1APmHH8FSl6sQom-v8P23ibj&_nc_ohc=bbH1HTN1hT4AX_21OG-&_nc_ht=scontent.fhan2-4.fna&oh=03_AdSd9UUG62YpwSwdqCWohc-O8jIXOmuS2bgBJEt3bgHZxQ&oe=661A2B29 
https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/431373590_1839240563179953_5069451663360578556_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeES21mNzzdar_yKG_P7_unCjOolHJsRmcuM6iUcmxGZy22Y6yMSb7nauNXbpqCVyAPKYECktrJ6vc5bYzfGnTFR&_nc_ohc=Kt6_KPfXcnMAX9ywXoI&_nc_ht=scontent.fhan2-3.fna&oh=03_AdRKriGkA0-Wiy3TTNMtt9thizxuMBJQW6eo5DeWmSC6gg&oe=661A112E 
https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/431398398_1854217601761521_3913887319645893894_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGpgJZWKgmdHOifxodDqg1Owg6MsDankEXCDoywNqeQRb8R7ImjAqrAug3DClNrR19_OHMfdiPH88EPninvD7cW&_nc_ohc=HW5nlJMGkX4AX9RD2Ch&_nc_ht=scontent.fhan2-4.fna&oh=03_AdQWyRf9KEVkXdUqFAn4rdJ8GrN6cRlF0F28QJqbVoV4Ag&oe=661A20DB 
https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/431478953_340891055038008_4642869688149390995_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEIzVsIeci0uTA4KzMs4DRQGv83eHLRGAQa_zd4ctEYBCGHPwoPqOt6ScOvlxiiGA4KjB6QmgY2KYB1kvv6LpA3&_nc_ohc=TSLvLUjYsG8AX8VMkx3&_nc_ht=scontent.fhan2-3.fna&oh=03_AdRTytSBrr9_1V9OorKpqVGjzUp-v2iOcPsfvymDgLxG5A&oe=661A0F66 
https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/431436113_7167358913372638_4162690815331928885_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGen3iIeZrtZHfcSLtkzV56MKBstABqtEkwoGy0AGq0SREKOSCAVcRi55lL0xJ2-3WIu4u_7GxKqy2741hCIrtg&_nc_ohc=UHio5R2kXJIAX_ZVtML&_nc_ht=scontent.fhan2-4.fna&oh=03_AdRgtsxlI843AcCu3Kf5ig2eoE87krOBxYjFOgetYdcyFw&oe=661A25E7 ",,,Bách,Duyệt,,
2024/03/14,Chuyển động Showbiz,Hân Gia,"🔥 LỆ QUYÊN - HỒ NGỌC HÀ VÀ MÀNG “HỘI NGỘ” TRONG DỰ ÁN MỚI CỦA NHẠC SĨ NGUYỄN MINH CƯỜNG 😂  Mới đây nhạc sĩ Nguyễn Minh Cường vừa công bố thực hiện dự án âm nhạc kỷ niệm 10 năm sáng tác. Dự án có sự góp mặt của các giọng ca nổi tiếng làng nhạc Việt như: Diva Mỹ Linh, Diva Hà Trần, Hồ Ngọc Hà,… bất ngờ hơn là sự góp mặt của Lệ Quyên trong dự án lần này. 😱  Hãy cùng chờ đợi lần “hội ngộ” này của Lệ Quyên - Hồ Ngọc Hà nhé. 🫣  #chuyendongshowbiz",https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/432070496_949755553607185_9135118504942705927_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEiGSfYyyYTO0GTrAKCPOanhTto3RL_4K6FO2jdEv_grpKHW8chpPKLOkXHxvmRtdxQRSkj53TQf6pGDAdMkyUT&_nc_ohc=muX5ipYNR_AAX873vRb&_nc_ht=scontent.fhan2-3.fna&oh=03_AdRBxE0DEcYNiz3iJpEcrtEHE-BRPGfBA6IZv2ZtMON0nQ&oe=661A2AB4 ,,,Đạt,Duyệt,,
2024/03/14,Chuyển động Showbiz,Gia Huy Lưu,Đoạn video thông báo đám cưới của cô dâu Thúy Liễu và chú rễ Chris vừa được trình làng 😍😍  #chuyendongshowbiz,,https://video.fhan2-3.fna.fbcdn.net/v/t42.3356-2/10000000_24977909078490653_4565037471552109541_n.mp4?_nc_cat=109&ccb=1-7&_nc_sid=4f86bc&_nc_eui2=AeHBp5HvFpcvraUQHJLvQR2ArGyQg9vaksWsbJCD29qSxRQJ8aDQs_yhL0Ku9OnDSbcq8eq5vWngsCJlFF2haLkm&_nc_ohc=6lBlSWofCPMAX91Ap1M&_nc_ht=video.fhan2-3.fna&oh=03_AdSzMlIm0muHTfPr5I_Bp7AOcWLj5raGcHpNMdYK6bRrHQ&oe=65F4AC0B&dl=1 ,,Đạt,Duyệt,,
2024/03/14,Chuyển động Showbiz,Đào Hửu Nhơn,"❗️😱 K-ICM THÔNG BÁO SẮP COMEBACK, SẢN PHẨM MỚI SẼ KẾT HỢP CÙNG DOÃN HIẾU 🥰  Lần này các bác phải cài view thật nhiều cho anh Khánh nhá, sửa chữa sai lầm đồ đó 😌. Nói chung thì sự kết hợp này thì cũng rất đáng mong chờ nha. 🤩  #chuyendongshowbiz",https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/431606264_699520845590714_6977486963383794898_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEMEPAZ-tyS16XyRnipz6sYT4JtxEpAwrNPgm3ESkDCsx7X51NJ3yEftb93DjDlz3ZksIt1Mj99JPfZANLlDlEx&_nc_ohc=tBYCll_08AgAX9Yj4Hn&_nc_ht=scontent.fhan2-3.fna&oh=03_AdSFzo836r4NwiHkR5cf2yaL5vmuoAXnQWgwpWFPc3S40g&oe=661A1F92 ,,,Bách,Duyệt,,
2024/03/14,Chuyển động Showbiz,Hân Gia,ANH CƯỜNG KHÔNG NÓI ĐIÊU NAM EM THẬT SỰ SẮP COMEBACK RỒI 🥰  Mới đây Nam Em vừa chia sẻ hình ảnh cùng team đang chuẩn bị cho album mới. ☺️  Sau bao ngày livestream thì cuối cùng chị cũng chịu trở lại với sân khấu âm nhạc rồi. 😍   Cùng chờ đón album mới của Nam Em nhé cả nhà. ☺️  #chuyendongshowbiz,"https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/431678951_3489436211355725_9161846532157171724_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEv_WVl9SGt1CKi_9zAmr-JiunLcO7PNB-K6ctw7s80H17phcpiTaWwOXLkaSu_LiGx0yOGtBk6a1BdbOdPqPZ0&_nc_ohc=crzKXaPCouoAX-CdEH0&_nc_ht=scontent.fhan2-4.fna&oh=03_AdQTTPTcD8GUoUioFaN2tPIz4rjn513zNkN-phmdUds8TA&oe=661A1AFC 
https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/431601070_427386639663053_2294476460327709518_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHR1HSXM5DrbjnQB2IvnSiZtjL9dImzr322Mv10ibOvfREemQrYHwWppbK3QIiy4vwoF0Mpi4LacG8wOl5T-0bV&_nc_ohc=pgoJNkkOFyoAX9AU3mB&_nc_ht=scontent.fhan2-4.fna&oh=03_AdTzd0uzKr2k93AkCUEH6dA_mb-9_r6iiy-zZ7oenjnZFg&oe=661A27E2 
https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/431992488_3758082287737400_6201657029367883282_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEXmd2KT1qPoe1cU9VhWUpuG9YMf5bHrUUb1gx_lsetRSXu-O7CDN25TCk4SPlBj0dtUra7GjLsilrGduPEtX2T&_nc_ohc=194bdWlfH1QAX-vXyRG&_nc_ht=scontent.fhan2-3.fna&oh=03_AdRIXCecsLXnBTK7tPUUyj9rdptCLaEF_RIo5l58SjxAHw&oe=661A3313 
https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/431664140_379553928198915_5130194106962414136_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGV9kJ3o7MJ3zdSMYQAWuOqz6rN-lveFbrPqs36W94Vurjz0C45PvIEMPP_p0DwOTcH2cwwqx4ozkuVpnzZX9mS&_nc_ohc=9DuzsNY7ui0AX_eWoqj&_nc_ht=scontent.fhan2-3.fna&oh=03_AdSvoLDUluIKMx9Fubn3e-dTkc57QtczcbQHuJSFA4Bpig&oe=661A1DA1 
https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/432231509_6608857309215848_8979053361327859248_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGS53eBqlFCJWAiHlZJRM4-FLmNLDSWYn8UuY0sNJZif8e-ONDYbYjV-_xKKa11j1WPKh1_SI7XnnMG7dZBbUEv&_nc_ohc=sa5Ar6L9omwAX9ZY2oJ&_nc_ht=scontent.fhan2-3.fna&oh=03_AdSWdFSYD28Vey-NbzfV8IR63u9At7YiMiU1AYAqaTYcFQ&oe=661A2F63 
https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/432113885_395218916458362_6041979090624780536_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFiclumVDOvYxt9DnnJmTYUeYDMc5zvd5B5gMxznO93kLl-FOvnuZfazqe3P4uLuMsReR74h4hV1RhAd0VFjTPl&_nc_ohc=UPYhzc5GIE4AX_vow1J&_nc_ht=scontent.fhan2-4.fna&oh=03_AdSg0760A2donF9SEKLin3cVeAOYdAAKGrwURj8wjR6_2A&oe=661A0E4B ",,,Đạt,Duyệt,,
2024/03/14,Chuyển động Showbiz,Hân Gia,🥹‼️ SIÊU MẪU MINH TÚ CHÍNH THỨC THÔNG BÁO LÊN XE HOA SAU 10 NĂM HÀNH TRÌNH YÊU NHAU VỚI BẠN TRAI NGOẠI QUỐC 🥰  Còn gì vui hơn nữa mấy bà ơi. 🥰  Sau bao ngày bị fan và đồng nghiệp hối cưới thì giờ đây chị tôi đã chốt ngày lên xe hoa. 🥰  Tung hoa cùng ăn mừng nào. 😍❤️  #chuyendongshowbiz #queenmode,https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/431552997_725435916082905_504594419305971046_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHpxlLO1w2GJPZEdAZeL9lDshyuCpmS4JSyHK4KmZLglAtaBcZPgd-ILit9sqo4GfwYeANCLTyiDnA6Mxo8KHIk&_nc_ohc=3Bc3vMJiJ2oAX_ifYLD&_nc_ht=scontent.fhan2-3.fna&oh=03_AdSnyzHw8ypzuJxhsExS5dk3MYsP2W-HksPchkx89yAT-g&oe=661A2F43 ,,,Bách,Duyệt,,
2024/03/13,Chuyển động Showbiz,Hân Gia,BUỒN CỦA NGỌC BÌNH: BẢO VỆ JACK HẾT MÌNH VÀ NHẬN CÁI KẾT HẾT HỒN.🤭  Ngọc Bình ơi đừng có buồn dù sao thì mình vẫn còn anh ViruSs mà. Anh Jack không trả lời mình nhưng anh ViruSs thì nói nhớ mình trên live nên là không có buồn nhé. 😂   Không được anh Jack thì mình được anh ViruSs nè. 🤭  #chuyendongshowbiz,https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/431859941_1113954246279681_1119903542926073048_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeG90ZsSsvHNZIkJ4u7bqh8HEgDwWoyZ14oSAPBajJnXipBTJWYlW0G5t9uMEPGPHuFLGjYk9Tr7X4u38ctsY_Y3&_nc_ohc=IoUiSKb4rqwAX_X3Moe&_nc_ht=scontent.fhan2-4.fna&oh=03_AdTY1GOU3zbuoyoqOEuJU8kEVQOuWZTAIfccSjUMfJyCyw&oe=661A35BC ,,,Đạt,Duyệt,,
2024/03/13,Chuyển động Showbiz,Đào Hửu Nhơn,"CHI PU CHO RẰNG SẼ CHỌN QUEN NGƯỜI NƯỚC NGOÀI VÌ HỌ KHÔNG ĐỊNH KIẾN VÀ CHÂN THẬT. 😭  Mới đây, Chi Pu vừa có chia sẻ rằng bản thân sẽ chọn yêu người nước ngoài vì họ sẽ không định kiến và yêu mình bằng tất cả những gì chân thật nhất. Vậy có thật sự là ""đàn ông Việt Nam"" ai cũng hội tụ đủ luôn một combo vừa ""định kiến"" lại vừa ""không chân thật"" không vậy?  Chị em nghe xong chia sẻ của Chi Pu không khéo lại mất đi lòng tin về tình yêu. Thôi, dù sao thì cũng mong chị sớm tìm được hạnh phúc mà mình mong muốn ạ. 🥲  #chuyendongshowbiz",https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/431599900_782115143972194_3235351079292952528_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEYduIKJ2hiuVapK0EYEw6ZcD42CfBFoNpwPjYJ8EWg2lLNjWTR7-CL_aYcI9O3j35P1gq0JzHaHG3uqNr4qWUL&_nc_ohc=odUS2zHBUWkAX-Rrq3G&_nc_ht=scontent.fhan2-4.fna&oh=03_AdTElhJ5fAcm0WUpQPSHsSEXw7q16oJKesBHr-Y3yDbgQg&oe=661A366B ,,,Đạt,Duyệt,,
2024/03/13,Chuyển động Showbiz,Hân Gia,"Trend này coi bộ khó đu nhưng nếu Lê Bống hỏi thì chỉ có ""cục cưng"" của Harry Lu trả lời nè 🤪🤪  #chuyendongshowbiz",https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/431656849_940564497736462_2262715380147958131_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeH10VPNwwiN4VVaeqcHFRM1_kNh3doUVef-Q2Hd2hRV50J9JTxo_ek2V-XlSsah5vxy_yx0jCAgEnFCAIrRB_kP&_nc_ohc=3Bop3XQEN6EAX9okT-B&_nc_ht=scontent.fhan2-3.fna&oh=03_AdR-e9rGPhNiNcFdH1VkPEPqv-J269us1lkkXN_AiiULWA&oe=661A3AAC ,,,Đạt,Duyệt,,
