time,page,sender_name,content,photos,videos,link,kdv,,,
2024/03/14,Tám chuyện Showbiz,Le Ngoc Tuyen,,,,https://www.facebook.com/tcsbvn/posts/pfbid0kcC5r8gSmhCyTQpWVQWJP7L1GNysU6qKLDkRDLUhUSmY9XciMRGm567MCjKgy5q1l,Bách,Duyệt,,
2024/03/13,Tám chuyện Showbiz,Le Ngoc Tuyen,"Viruss thừa nhận tương tư Ngọc Bình 🥹  Anh thuộc từng lời của cô ấy nói, nhớ chiếc avt sen đá, luôn miệng than nhớ giọng cô ấy, thừa nhận bản thân đã rung động 🥹  Nếu người kia đã không đoái hoài trả lời tin nhắn của em, hãy nhìn lại  nơi đây luôn có một người nhớ em và rất muốn gặp lại em ❤️",,,,Đạt,Duyệt,,
2024/03/13,Tám chuyện Showbiz,Le Ngoc Tuyen, ,,,,Đạt,Duyệt,,
2024/03/13,Tám chuyện Showbiz,Le Ngoc Tuyen,https://www.facebook.com/share/v/R5yNTPL67kwc6rro/?mibextid=WC7FNe,,,https://www.facebook.com/tcsbvn/posts/pfbid0qzrrpNVCh969DKDfg8LZ8wrQpAe5eehu3nM8csewk7rqSBRwjyGYSsmeWpAX8mn4l,Đạt,Duyệt,,
2024/03/13,Tám chuyện Showbiz,Le Ngoc Tuyen,Đứng lên bảo vệ anh để rồi nhận về sự im lặng... Ngọc Bình cân nhắc về phe Viruss hong nè 🥲,https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/431255994_1156246375302341_5198256299863564820_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHnfepKY_lXvk1t4UkEW8HR4NiCRT3jK9Tg2IJFPeMr1ES7CcrAmenzjVKBnG5LOs7lcdrR-jbPs2IaKLiEdS6N&_nc_ohc=tTYE1Vint6kAX81wPcY&_nc_ht=scontent.fhan2-4.fna&oh=03_AdQUoTqvCrim_1a6EoxZuwh0GtqztECJXpbTpU9-Hbr0bA&oe=661A2A65 ,,,Đạt,Duyệt,,
2024/03/13,Tám chuyện Showbiz,Le Ngoc Tuyen,Anh này gia trưởng nhưng nói chỉ có thấm 🥹,https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/431279447_935595867802251_5338281454635813638_n.png?_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHQUzGSQ5qgYXoSJS4WdGwPlY2NjkKqqLeVjY2OQqqot_BBw9gnUh-ndyr3DLA2yB2OyWJ0J5D13WJPx7fPa5me&_nc_ohc=mMJ_9Pkl8EEAX-qVHPG&_nc_ht=scontent.fhan2-3.fna&oh=03_AdQpSguCuLd4xPHCTYi59OuWjDSWsAXVb28NlNz_DmkMhg&oe=661A3392 ,,,Đạt,Duyệt,,
2024/03/13,Tám chuyện Showbiz,Le Ngoc Tuyen,"Visual cực nét của bạn gái Hoài Lâm 😍

Bạn gái của Hoài Lâm tên Kim Ngân, năm nay 21 tuổi. Hiện là người mẫu tự do và cũng từng là nữ chính trong MV Người mới của Hoài Lâm.","https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/431081706_730273052577020_2045654769075467842_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFtznSRE-mwk8NYLjNGwhoEXtMt2D7NhTNe0y3YPs2FMxm4bKjsKSK8dRWD1m1mH87wM3X65m3iIMSTgheCsjUR&_nc_ohc=eXO57RNdy58AX_rLyh0&_nc_ht=scontent.fhan2-4.fna&oh=03_AdSzbub_SPLdK5baoTd_6z6ND9ywV185bZ6FlEzJ_1R6sQ&oe=661A4090 
https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/423738084_427871043034506_7589573954766238003_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHbm49qHlQYgtxeV0JezCKH5cPKbODCgCLlw8ps4MKAIsZfqrz-VQUhTxOMblp4n8HbQTSK8NxMAi_63jgufHVn&_nc_ohc=1zpDFCo24EYAX_kEmys&_nc_ht=scontent.fhan2-4.fna&oh=03_AdSuULBhwNIH2-QC4b8pCRIcKLNL1kvHScagvJizbFXYZw&oe=661A3F82 
https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/430924385_939628327337569_2955298162855896227_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeE7KCvSOP8yBLxNW3nJJ2EJW_Ii2vDq1rZb8iLa8OrWtmDdwATRCVGPR4nlHJLuYS27evEdyq6c5LsTrxSaI8Uh&_nc_ohc=MpsGKCYqhVAAX8KJyy1&_nc_ht=scontent.fhan2-3.fna&oh=03_AdQKxO74VoCooU3nbHV2XoGrZWWd43O56J6jY6VaOsQfVw&oe=661A365B 
https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/431314000_1137001091048280_5475017257798943930_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFcPYCDZ5HhGFEbZ1ugKFlfcfSpqhcd2Phx9KmqFx3Y-M4AHDn_8Cey9yvEHPHl67hTpawG6zAi7-fYXrqHHDO-&_nc_ohc=f4VXSRijmyIAX_3TO-a&_nc_ht=scontent.fhan2-4.fna&oh=03_AdSPJenCgzdhCj0uBNpOf60-AXAibepffv79mqEY3yxjUA&oe=661A2330 
https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/423737851_7410843692338851_800944438993517984_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFzzG2tLyynTlqVohhiGlIH4E2nneK2dlHgTaed4rZ2UUeOZYqnVHAGr0lSbZYhJ7J1JqnEynHxs3yFtT45ksoB&_nc_ohc=O_0SyEhk2TYAX9NonJu&_nc_ht=scontent.fhan2-4.fna&oh=03_AdQ07OIbJjhKDkhEgC3K5lw-MgdM0jntTAMs0DoS8VB4hQ&oe=661A0DBC ",,,Đạt,Duyệt,,
2024/03/13,Tám chuyện Showbiz,Le Ngoc Tuyen,Bích Phương đăng lại bản cover “Nâng chén tiêu sầu” của Anna Yến Phượng 😂  Tiêu sầu nhưng nghe là sầu luôn (video👇🏻cmt),https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/423738050_1382160142464869_2830474873462220413_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeF3CP6qwN_DPTH6w58g85jq8El6OadJyfbwSXo5p0nJ9hr20g4P_UAEwDTK4Ic4_OLAQAqp3dJ1rt3CDfEujIAz&_nc_ohc=hQucykdhb5gAX8673S5&_nc_ht=scontent.fhan2-4.fna&oh=03_AdSXpGkaBvL_lKapElyLXT3AslW74nC5u7t7vRfIvPORnA&oe=661A36CA ,,,Bách,Duyệt,,
2024/03/14,Tám chuyện Showbiz,Thuỳ Linh,1 pha kiến tạo xuất sắc của anh Long 🤝,https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/429997305_3761522884172242_4572189554535481017_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHcuxjBBMOmbNOiZyt9IVk1aB5kioNUHQ1oHmSKg1QdDRqy_HO4sEqLahBGlTNSjxhnPiIf5bkX4Eyd5Ek9yaS9&_nc_ohc=xkuYTx6uv9gAX9J53MB&_nc_ht=scontent.fhan14-1.fna&oh=03_AdQWH_rjbIfC0Cyuse7ZKAobAAfDplHNJ-Pq9yUHfcFV1A&oe=661DEE55,,,Đạt,Sửa/ xóa bài,Che tên,11
2024/03/13,Tám chuyện Showbiz,Thuỳ Linh,Quá trình tiến hóa của loài Đom Đóm 🐧,"https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/431112724_795330319295588_2722184538654418707_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGsG1yKSMOvquDBb4Mr85bzEGcvgOLi6r0QZy-A4uLqvaJ_uAxbiSl7wmu-Uf4PeAA6vlW4fCPwRhuNjJpE4sLj&_nc_ohc=cs6Yl7y7-UYAX8SIUrz&_nc_ht=scontent.fhan2-4.fna&oh=03_AdROOZ6hcaPJ9cdELfs8bBzXdHPYLkdGQXjGvcTLNWIECA&oe=661A10F2 
https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/429955771_1399536468109462_9188129561821850904_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEpf4tjN00fJE_OQnah71Oc0PMoPsFKzi7Q8yg-wUrOLqs3q0SM1gkuXa5pzAwjqoLRMjLlaRPuQ57-KVWRAhbs&_nc_ohc=LNtnCO5Zwt4AX-lNS5A&_nc_ht=scontent.fhan2-3.fna&oh=03_AdS4tjrXYgsQfRdPoNN2uJx-bUe0jfBtt1zOi6DzQmvDVg&oe=661A1E54 
https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/431165268_1320414951974118_5612421889059422866_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGjJs9IoahOXkr8XYUaGVWjzUuaax73JTXNS5prHvclNTUcvoueyqq_Xxqo8Yl4uUknoCz4sy7tcwHaqPlmb6eb&_nc_ohc=rxMi6GlaH0kAX-hsO8b&_nc_ht=scontent.fhan2-3.fna&oh=03_AdTKzDO1pW1-OlB9ipRu8Z6aLuEuxiQS6TNCkUdx3r8c5g&oe=661A3D6F ",,,Bách,Duyệt,,
