time,page,sender_name,content,photos,videos,link,kdv,,,
2024/03/14,Kiến Không Ngủ,Thu Trang,Top 1 app sẽ khiến bạn bị người khác hiểu lầm 😞:,https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/431542387_255676200934840_2585044924059725714_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFmuK6r1ZrWfsjeRSKdeU_oiob0GVWo6luKhvQZVajqW_-Hvgvd8xDS_-kmfQY8rjoR-dhM7JKkLx1QZvzPDs1f&_nc_ohc=Mocb98nOxi4AX_LoFhj&_nc_ht=scontent.fhan2-4.fna&oh=03_AdTuBh4TPHCW5q6z4O_WYe7wkEDk6goO7qW2ENqZasm0ag&oe=661A3892 ,,,Đạt,Duyệt,,
2024/03/14,Kiến Không Ngủ,Thu Trang,"Chỉ là người hâm mộ viết truyện, sao cần phải bận tâm 🫳🏻",https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/431653189_397139572938978_5126808836959299063_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeG2_lJX5TpBxFRllQhjEIrB0x_dEIZEdQLTH90QhkR1Aupo1Ep-g_sRnLU2J_A5thbea2ieOKyKHACYy0A6Gw3J&_nc_ohc=RL2GEzdy2bsAX_Jiuer&_nc_ht=scontent.fhan2-4.fna&oh=03_AdQ5CtwX8yB4UxMvF4SX6V0qrvIzCyQ4XwXVeF6avITvbA&oe=661A1071 ,,,Đạt,Duyệt,,
2024/03/14,Kiến Không Ngủ,Thu Trang,"Quật mộ trùng ma: 3 chữ Đáng  Đáng tiền: Đồng tiền tôi vất vả lao động được bỏ đúng chỗ  Đáng xem: Mĩ mãn, mạnh dạn chấm 8,75/10. Diễn xuất khỏi chê, twist ổn áp, không lợi dụng mấy cái nhảy ra hù nên đừng lo =))))  Đáng đời: Đáng đời con Kiến Tiềm tham ăn nên đi muộn 58 phút không ai cho vào xem nữa :)   - Kiến Điện Ảnh -",https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/428028120_314244011664560_6925676475879870254_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFwOeQ75nGElTJEKVuyEfZ5sEPy3bocfPiwQ_Lduhx8-P-A2wCsuW9IqqNzpL4EDIaE92-SYnlLzc_5swTO3M1s&_nc_ohc=DhfU94BhHJQAX9bGWvw&_nc_ht=scontent.fhan2-4.fna&oh=03_AdQxUyRQxfD8MS6wnWrb6SQsygjPqT6yeFCH_ZzkLW-7yw&oe=661A0F83 ,,,Đạt,Duyệt,,
2024/03/14,Kiến Không Ngủ,Thu Trang,"Mỗi ngày 1 ảnh ngầu lòi: Cầu thang của một khách sạn lao thẳng từ tầng 13 xuống, không hề có chiếu nghỉ hay xoắn ốc",https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/430652270_1435272333787142_4955769891476711374_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeG7HW0CdTuj0SHf8dXsQfRXXzEW4FeFdDpfMRbgV4V0Ojq14NyfT2shFe1nNHi1-Z9strRiF-x0oXg2IlhaH4-z&_nc_ohc=D2lw12pYXnUAX8RQ8_5&_nc_ht=scontent.fhan2-4.fna&oh=03_AdR7ektWjH8xl3N4Gl1tTU-3WMW88RA9EoHg17jhNmNGmA&oe=661A3ED6 ,,,Bách,Duyệt,,
2024/03/14,Kiến Không Ngủ,Thu Trang,Fact: Thực ra video này dành cho ngày 14-3 (valentine trắng) chứ không phải 14-2,https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/421346747_3626420804236095_573375514720638074_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGEHUsbAoQJdd8ToN2GmH2KUqZrvPXMYBdSpmu89cxgF3pun1tBARBOh_xKzJ0g1rqMatLmc6_AYFYacNLL2mX8&_nc_ohc=mSmtB-Nlc_0AX_Xd0__&_nc_ht=scontent.fhan2-4.fna&oh=03_AdSvdx6e1xBELqFcYKJ_-2tZzmgF1Vj_rz5yt-n7cCxsmg&oe=661A24E5 ,,,Bách,Duyệt,,
2024/03/14,Kiến Không Ngủ,Huyy Anh,Ước gì tóc cũng bền được như lông đuýt  🥲,https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/431055643_1174235920621420_7653648372092766009_n.png?_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFQ4VY2tx4RFOOmmBO_xTjA050QILurWGPTnRAgu6tYY6wbL_O_7XGsKPNo5VcntOfGgQ0NlpUuk6OPGTKeUsUa&_nc_ohc=8Jy_xd9nX1cAX_RVZM-&_nc_ht=scontent.fhan2-3.fna&oh=03_AdTOEym2GAtf7YlEB6EFVQscaHQppD-eYKVrygzgT17z6A&oe=661A2482 ,,,Bách,Duyệt,,
2024/03/14,Kiến Không Ngủ,Huyy Anh,"Chồng yêu ơi hôm nay là ngày 14-3 rồi này, là ngày valentine trắng ý. Tròn một tháng chúng mình yêu nhau. Ba mươi ngày yêu, chồng biết không 30 ngày không phải là thời gian dài nhưng vợ hạnh phúc biết nhường nào chồng ạ. Hạnh phúc vì tất cả. Hạnh phúc vì được ở bên chồng này, hạnh phúc được nghe  những lời yêu thương từ chồng, hạnh phúc lắm, ngày ngày được chồng quan tâm, được chồng lo lắng, ngày ngày được chồng  nhắc nhở uống thuốc, nhắc nhở học bài, nhắc nhở đi ngủ sớm nữa. Thích lắm ạ. Hạnh phúc là được khi khi được nghe chồng nói yêu em , yêu em nhiều lắm, em thích lắm. Lúc chồng gọi em là ""Tròn ơi, anh bảo này"". Sao chồng gọi vợ với nhiều biệt danh như thế ""nào là vợ Tròn, sữa chua yêu ??, vợ Hăm, vợ Hấp, rồi nhiều lúc lại còn bà Tiên, kho báu. Song những lúc cãi nhau chúng mình lại còn ông với bà. Vợ thích lắm lúc chồng cười nhớ và hạnh phúc hơn nữa khi nụ cười ấy dành cho vợ. Hihi những những gì em có là bố mẹ em cho, còn cái hạnh phúc to to là do chồng mà có. Chồng ơi chồng có vui không, chồng có hạnh phúc không khi có em, khi được ở bên em và em biết là có mà. Những gì... À chồng này 1 tháng  2 tháng 3 tháng chả mấy chốc mà mười năm đâu, mình hãy cùng nắm tay nhau cùng nắm tay nhau đi hết con đường phía trước rồi ừm và mãi hạnh phúc chồng nhé. Em gửi nắng gửi gió để nói lói lày những lọ những lời này với chồng để chồng biết rằng Em yêu  chồng nhiều lắm. I love you chiu chiu",https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/431685062_426840669927742_3432851089640037210_n.png?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeH4Gq50Er2Lib2mfatWREtWEkMNqTOqvlYSQw2pM6q-VnFlNsNhGNCn6YS4uu4C9ARyTijAt4KapNs5UyFUurD7&_nc_ohc=d1WvjAfDvLUAX8YmiI3&_nc_ht=scontent.fhan2-4.fna&oh=03_AdSypTkl9F66ywBJLYqBc-TSEdPhYx1IUD1i27dcTtE8-w&oe=661A2988 ,,,Đạt,Duyệt,,
2024/03/14,Kiến Không Ngủ,Huyy Anh,"Ngày Valentine Trắng 14/3 bắt nguồn từ Nhật Bản, do một công ty kẹo tổ chức ra và được vài quốc gia sau đó hưởng ứng theo (Trung Quốc, Hàn Quốc, Đài Loan...).   Về cơ bản thì ngày này thì người được tặng quà vào ngày 14/2 sẽ phải ""đáp trả"" lại người tặng mình <3 Cả nam lẫn nữ đều có thể hưởng ứng ngày này nhaaaa  - Kiến Psycho -",https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/431584997_725698076370332_1076486715071208971_n.png?_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEZTGnW6N2vruKKq2BFiWPJbhdJQsveY2huF0lCy95jaCTIotJeAAbCuD9ogrKb6HFrCblfyClCkCIzURGDN0sw&_nc_ohc=GC7-nbwV0egAX-W1vZf&_nc_ht=scontent.fhan2-3.fna&oh=03_AdRSezuyqrEDtY-tJDjS7UGiDHJweBHb3iQmBW6IhX816w&oe=661A1733 ,,,Đạt,Duyệt,,
2024/03/13,Kiến Không Ngủ,Thu Trang,"Tôi muốn trở thành một người cha, người mẹ bao dung và thấu hiểu.   Để khi có chuyện gì xảy đến với con tôi, chúng có thể vào phòng tôi, khóc thoải mái và kể ra hết những buồn tủi trong lòng.  Tôi mong rằng con của mình sẽ không bao giờ phải nằm khóc cô đơn ở trong phòng lúc nửa đêm vì ai đó làm tan nát trái tim nó, và nó thì lại tự hỏi rằng nó đã làm gì sai.",https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/431622878_399173616063692_4672422579388326341_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEfZqgNnc7xv7c509MDx23QLYa-uJgZjcQthr64mBmNxI9duTyDxHTdRAiHCVRHFe0BUpdU0FLeJ40ZNpqxCL7V&_nc_ohc=NqaUtgWu9DkAX82eY_-&_nc_ht=scontent.fhan2-4.fna&oh=03_AdSCRHGhVG8YCxGktrKGp7zep8dfpTvOhYjC_vAq1B0v0A&oe=661A39B9 ,,,Đạt,Duyệt,,
2024/03/13,Kiến Không Ngủ,Thu Trang,Thế thì có vấn đề gì à?,https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/431463092_1203200101063584_5645430682660350902_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHUxuFbZeJFHe9zjiigMGkR1GdqvCt1RLzUZ2q8K3VEvLJDY3RWnofQ0rSNG0246KIQIzqNMsvlIASzMWHV-oBQ&_nc_ohc=LhPlilX3PJcAX9c8dO2&_nc_ht=scontent.fhan2-4.fna&oh=03_AdShHad7yv-vEwGk_9xNAk7KsMwqKh9EUyfAOXcS0gziuQ&oe=661A2252 ,,,Đạt,Duyệt,,
