time,page,sender_name,content,photos,videos,link,kdv,,,
2024/03/31,FP - Kiến không ngủ,Huyy Anh,"""Cá chếc"" là một từ tiếng lóng nhằm để chỉ một người (bạn tình) khi lâm trận thì họ... chẳng làm cái mịa gì 🙄 chỉ có nằm ì ra đó để người kia làm, thậm chí còn không có phản ứng, tương tác với người còn lại.   Đừng là 1 con cá chếc 🐟  - Kiến Dằm Khăm -",https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/434383720_946943580348526_5602885470805765209_n.png?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFdFv6oPicy7Up00I3_GFg1j3Mo9jPw6S6Pcyj2M_DpLpWScBq8oCYF2nYxGGHOXPP19jZUrXG2ZDfa_Pa8imx0&_nc_ohc=aI5qd3QIkL4Ab7GWiuH&_nc_ht=scontent.fhan14-5.fna&oh=03_AdV48V9MXpLy1l7KRa7EAaxwbnP_JWfjL7fB8fVL75DMcw&oe=66352CDF ,,,Bách,Sửa/ xóa bài,Thay ảnh,Ảnh khỏa thân người lớn và hoạt động tình dục
2024/03/31,FP - Kiến không ngủ,Huyy Anh,Mỗi ngày 1 bức ảnh ngầu lòi...: đây là tác phẩm được làm bằng cát của nghệ nhân Andoni Bastarrika 👍  - Kiến Lang Thang -,https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/434125809_273351275829374_8818683677917292500_n.png?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFi_hLyX6EX19Td_hb7oAhW7R-fxpSadnHtH5_GlJp2cQa7NWHEV4HzlDvaJwCbbvmmIjfKGpwYPLYBhmUyzSzv&_nc_ohc=T3hHjkPeWdEAb6XREBf&_nc_ht=scontent.fhan14-1.fna&oh=03_AdWBWFnPLyUpT9qzvhM9sve1usXB1dGA4u7vbJicjeIOsw&oe=66350F09 ,,,Bách,Duyệt,,
2024/03/31,FP - Kiến không ngủ,Thu Trang,Top 1 app có nhiều cuộc hội thoại để tỏ tình/chia tay nhất,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/434271489_773728941385413_3336146614572514283_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFPolRNbQo2mNBY92MdGoaRKqQa0SnLRyoqpBrRKctHKmSOlCRa32Nht7yNFK3R_ZK6KN-l7uxO-RCzSmn1qov3&_nc_ohc=l6U2AvjPKNEAb5GELNx&_nc_ht=scontent.fhan14-3.fna&oh=03_AdVrkGWprVeTSHqHEpNA3Rhzu9S5S7EFE6fag4sBiRpTAg&oe=66351EC0 ,,,Bách,Duyệt,,
2024/03/31,FP - Kiến không ngủ,Thu Trang,Mlem,https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/434344626_241180102419892_3051192019839688316_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGEMGMr4vvhRNgi5eScELujKdXO31q-Cnwp1c7fWr4KfECj-0kf5FBamI_krry7NUPdKdZhOmZDwiAing_Old0m&_nc_ohc=UMvHVfLN3u0Ab5UGSg-&_nc_ht=scontent.fhan14-2.fna&oh=03_AdUIKHiTxyGq6CJ0BFjTzzujDoPR4eBk0rwVX1bADWhDwA&oe=66351E88 ,,,Bách,Duyệt,,
2024/03/31,FP - Kiến không ngủ,Huyy Anh,https://www.facebook.com/kienkhongngu.vn/posts/pfbid023KzEAZJDCxr4Tn7fv8qR3qePKqYRTirJgyAkLNBHVWsnobgeB7rcogC5qnDtZU1Pl,,,https://www.facebook.com/kienkhongngu.vn/posts/pfbid0371Gw45xJEikT5sx4kaRJj9goZSfRUC4WwW5MmNQxXWQsJNzYveS31KHjocrBGspHl,Bách,Duyệt,,
2024/03/31,FP - Kiến không ngủ,Huyy Anh,"""TV em bền lắm anh, vỗ bạch bạch luôn này, không tin anh thử đi...""",,https://video.fhan14-3.fna.fbcdn.net/v/t42.3356-2/435144617_7394042960672141_6335594697178424934_n.mp4?_nc_cat=103&ccb=1-7&_nc_sid=4f86bc&_nc_eui2=AeExlvyIQSz981O-QJvS7truwvjb76N1R8LC-Nvvo3VHwuL2sV3pPjqXsay0H6PxT3x4OhCCK0akZo_chRXVlZeq&_nc_ohc=pNHxCrj0GO8Ab7CPrpl&_nc_ht=video.fhan14-3.fna&oh=03_AdWPxXeIx0t_AgpSiTGsoilFe2JQDgAjEM2D4z73qTUKYQ&oe=660F9C71&dl=1 ,,Bách,Duyệt,,
2024/03/31,FP - Kiến không ngủ,Huyy Anh,Ai đó vẽ thêm mùa nắng và mùa lũ để cư dân mạng có cái chưởi tiếp đi ạ ☺️👊,https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/434080875_865351282027364_5344187772779293037_n.png?_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFjTYSl68vR6atmcio97RLsufGaijMF5LK58ZqKMwXksnBiAuSGz2KCJ2dktfoYjQcuZWzcywOgBVHTj-QhtEdE&_nc_ohc=haeRsySuwecAb73ac06&_nc_ht=scontent.fhan14-2.fna&oh=03_AdU4-9aysiKakLarNOW9YXf3VG-dpk-gKY-GvqQHZ0XSxQ&oe=6635306F ,,,Bách,Duyệt,,
2024/03/31,FP - Kiến không ngủ,Huyy Anh,Ổng không muốn giày mình ướt nên đã phải làm thế này 😔,,https://video.fhan14-5.fna.fbcdn.net/v/t42.3356-2/10000000_25009299602050313_7840531354176434385_n.mp4?_nc_cat=106&ccb=1-7&_nc_sid=4f86bc&_nc_eui2=AeHILJLFTNbKIv79iW_J__Cds47elxW_b22zjt6XFb9vbdGdtpYsc88VSqJ1vVbGeh3pusu_kYn8Rtv5lhEMhtNf&_nc_ohc=kCJ8IdfqsVcAb7-g3yv&_nc_ht=video.fhan14-5.fna&oh=03_AdUTtMoCMtpwhbmvG1DMHxQvyRANmkhNtQmtYGJaaCfTvQ&oe=660F7B0C&dl=1 ,,Bách,Duyệt,,
2024/03/31,FP - Kiến không ngủ,Thu Trang,Tin vui cho các anh em: Kiến Dằm Khăm đã độc thân trở lại 😇,,,,Bách,Duyệt,,
2024/03/31,FP - Kiến không ngủ,Thu Trang,"Thực ra thì belong with có nghĩa là ""xứng đôi vừa lứa"", nhưng ít người dùng =)))) Nên bài kiểm tra toàn belong to thôiiiii",,,,Đạt,Duyệt,,
