index,time,page,sender_name,content,photos,videos,link,thumbnail,kdv
0,2024/04/05,,Thuỳ Linh,Biết chuẩn bị sớm là tốt 🤣,,,,,Bách
1,2024/04/05,,Thuỳ Linh,Poster tiệc độc thân cực độc lạ của Minh Tú 😆=)),,,,,Bách
2,2024/04/05,,Thuỳ Linh,"SONG HA YOON BỊ KHUI THÊM NHIỀU CHUYỆN QUÁ KHỨ  Cáo buộc mới của Song Ha Yoon từ năm 2015 rằng cô ấy và cha cô ấy đã có những lời nói khó nghe đối một người phụ nữ đang cho mèo ăn.  Ngoài ra, các báo cáo cho thấy cô ấy có rất nhiều drama trong lúc quay phim, bao gồm việc “vuốt má” một diễn viên đồng nghiệp, thường xuyên thay đổi người quản lý và stylist.",,,,,Đạt
3,2024/04/02,,Thuỳ Linh, ,https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/432540662_1055660862202035_898630217444900994_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeF0zgR1R32UYLsCS2VQVoUk8eCP2k7z6-Hx4I_aTvPr4ajp66gdD4z2bU16Vvh03LbFIt2rmvvmvZo-EcAMTOlA&_nc_ohc=M1Mu9I6oDYMAb4FaOgZ&_nc_ht=scontent.fhan14-1.fna&oh=03_AdXuA9xIJt-qOpiYEwsNsYjc6XZTSiYn023JFe29yG5WDA&oe=66350B35 ,,,,Bách
4,2024/04/02,,Thuỳ Linh,"Page Trường Đại Học Sân Khấu - Điện Ảnh TPHCM đã chính thức xoá bài đăng chúc mừng tân sinh viên Bùi Quỳnh Bông đăng quang MUV2023   Chúc mừng hết mình, đuổi học hết hồn 🤣🤣🤣.",,,,,Bách
5,2024/04/02,,Thuỳ Linh,Cô Pam với hairstyle tiểu thư dưới bàn tay nghệ thuật của nữ hairstylist kiêm người mẹ Salim 💇‍♀️,"https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/430471094_934709228447916_112137640654307243_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEU0g3giOWNU7vX9YTcqwzpfmMFD6jSf2l-YwUPqNJ_acpUOSAs4aYq5p_0y72Zj3fEuEkx7vv6iyVpbuyV_CGp&_nc_ohc=nk4uizwn6X4Ab4Wiib5&_nc_ht=scontent.fhan14-5.fna&oh=03_AdU0xRZGq8toFG-2J2SUk2Vqip0uyWbF0n9DmH8Ruq73ow&oe=66351D39 
https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/432917935_390830827095286_7376361424904385861_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHmrz9lcmYElysbb36y3WgHGsn4vCEI04cayfi8IQjTh9hA2RYP4y9f___v8kAV65wCpI_UOc_so-WDwdxCmapq&_nc_ohc=_xAoyUauNloAb5hAmLY&_nc_ht=scontent.fhan14-2.fna&oh=03_AdXkxzP1eSMVJmGkuCPMp9jeX4Zjis5M0fjZLya4JprZbQ&oe=66350145 
https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/434638545_1566036007291356_8940560671768125403_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHg9h2x99-O2GRLLBNN3ZS8TRP-uWTqcTRNE_65ZOpxNK8VrvBrN3ausreyzUn-0Bvcs3m8ugDlXjEdi6HGwFSl&_nc_ohc=Y-PTsVf1EXcAb6CROB7&_nc_ht=scontent.fhan14-5.fna&oh=03_AdWQsDlf78ISALetBiOfhvn89NiZvgFagypJYaJ5ZGKGIA&oe=66350FB2 
https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/433555305_947652086565909_6919394285656511134_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEnedDUSe8N351Izy676q00RufK-8Nswc5G58r7w2zBzrCTGwBmoySpG7gLYRcOBS6rVfEj5tLGOgj7iCUl6d8i&_nc_ohc=w25X7d7qmbEAb5BvED2&_nc_ht=scontent.fhan14-4.fna&oh=03_AdVh43DAsLCbxJGzanPlqu9uLmrueevfQEsI35zw0xABjg&oe=663503BA ",,,,Bách
6,2024/04/02,,Thuỳ Linh,Cá tháng Tư đã qua và bây giờ mới là sốc thật: Tộc trưởng Độ Mixi ngủ dậy một giấc thấy nguyên kênh Youtube bay màu thay vào đó là một ông Tây nào lạ hoắc trên đó. 🥲 Quả háck này không biết phải chi bao tiền mới lấy lại được đây? 🥹,https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/432519025_787827779497434_8377696738675663151_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHbpWNGDdyEyvJNbC93DZW3_Vf4S29P_Yn9V_hLb0_9iTIrdeTXPDEsRd_LM4-dVu5prdD0FzQ3PwxiDQUzSlmt&_nc_ohc=_Z4G7xUmsKkAb4l9UDv&_nc_ht=scontent.fhan14-5.fna&oh=03_AdUfQzl7lWQNGIxOl7nYJGYk5wCuryHxHZl3ZzKEBIOL7g&oe=663506C2 ,,,,Đạt
7,2024/04/01,,Thuỳ Linh,"💥CỰC NÓNG: DIỄN VIÊN SONG HA YOON DÍNH CÁO BUỘC BLHĐ CẤP ĐỘ 8 😢  Mới đây, JTBC đưa tin nữ diễn viên S dính cáo buộc BLHĐ. Theo lời kể của nạn nhân, nữ diễn viên này đã blhd cô không lí do và trong thời gian dài. Sau này khi nhìn thấy nữ diễn viên, người này đã liên lạc với công ty để yêu cầu xin lỗi nhưng công ty chần chừ và không xin lỗi, nữ diễn viên cũng bảo mình giờ chả nhớ gì?  Đáng chú ý, bức ảnh được JTBC đưa lên là hình ảnh làm mờ của Song Ha Yoon.  Theo VKR News",https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/432536876_1106337027087570_5247693418402370573_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFzL0rOVcDaEggS7evqVVX6GcE9pnzZXCkZwT2mfNlcKZKyjVYHFEMR6cxyW9AklAOftMqbU1t0QFSkPL4se6DO&_nc_ohc=MJBAYK5qrUoAb6JO348&_nc_ht=scontent.fhan14-5.fna&oh=03_AdWnf389SyQ-S17IG_Caju3CFViMqUlUYy1a-4cQ0uYmTQ&oe=663506FC ,,,,Đạt
8,2024/04/01,,Thuỳ Linh, ,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/432267636_934166635116158_2555827274364291797_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHxTfEHFhhnUIGDoVZdrueS808YfIqIoEHzTxh8ioigQUXlPJBZcI_AOzqDvwrgvVL0aONWnjXYE6mTR6SWEN3M&_nc_ohc=q3n0AxmiKF4Ab6cZQrs&_nc_ht=scontent.fhan14-3.fna&oh=03_AdWa09-Yjf-1xf0vKgQ923EDZ1Qd-fRmANLe6VxEK6L72g&oe=66352512 ,,,,Đạt
9,2024/04/01,,Thuỳ Linh,"HOANG MANG: Mới sáng sớm Cá tháng Tư Kênh 14 đã đăng một loạt tin tức với thông báo vô cùng chắc nịch Hoàng Thuỳ Linh và Đen Vâu đang hẹn hò?  Ngoài ra bên thông tin còn cho biết Hoàng Thuỳ Linh lộ rõ vòng 2 lớn, nghi vấn đang mang thai 🤰‼️???   Là sao vậy trời 🥲  Ảnh: Kênh 14","https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/434694651_393629203601910_3471030360625697606_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHkDlzoGVwqbibeviGL_I8kIEqamnfbbW4gSpqad9ttboKOurjIzzq7PRz2sRQgtOO-VKAWQ88Y6BNsppuh2nND&_nc_ohc=67EMYed8t-4Ab52sS6I&_nc_ht=scontent.fhan14-5.fna&oh=03_AdWVERCkBp7Dl8036x4THdU8G917nv-aAjQ3vCPk6cQoLg&oe=66353069 
https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/434532577_445057728092200_3519381541586485516_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEfZhNXOk9RvYkKsLUjCCsaPyRiTAN7Pes_JGJMA3s968ixSVHfBFvufNVxZoW-84-cUCGmSt0B4-mO6sZvlRc5&_nc_ohc=db8EUPNAMx8Ab7onFMX&_nc_ht=scontent.fhan14-4.fna&oh=03_AdUxOZzp0fGDTk-4ZTCme6lC7pBJ2-fCKErvgr4iuCi7jA&oe=663506C6 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/432476496_819693883319956_1645753173810838929_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHLdfCpkvggySUfJe769yGx-tsSBxQgnG762xIHFCCcbiMyqyQudrh0O6l5SFO7tgHuunk42MyhU7RsZivIoD6c&_nc_ohc=3W9ERTBM0eYAb5mkte7&_nc_ht=scontent.fhan14-1.fna&oh=03_AdVs6IN_l1pma-dAxEBZ8aQoW0WRFqvAOCTdqoegmbp6eg&oe=66352609 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/434309995_1472272583710750_5898022550007966826_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeH6uu5EXlmIx2TSytYB4DtrKmPHgKEEyuQqY8eAoQTK5ESA61g0y9k97B4toxIM4yLHfLkdNgoAZSFLAntpfQHf&_nc_ohc=YqSntARmI0kAb5k0wrJ&_nc_oc=Adi6PzUo7uTcFHc3yp9rQ_sfCIFz4vLotJp_wb89nPHezU7Z61RV6QE2Bkm7jcRPGlYPQXj7fQkJQCR7QTj26zD6&_nc_ht=scontent.fhan14-3.fna&oh=03_AdWC7EnyQ5-mxvheLHDfzzU4QAANETwSvxlBECNdqaqvRQ&oe=66352D9A 
https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/432513717_2629943323849292_8252149456520508541_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHULSH_RLa8FUvn2LtYKRykAhphhJ-jLc0CGmGEn6MtzZIfAjaV6FvBdECInnPvQM9mJVPgVr2k6WhnIdd7sCK8&_nc_ohc=7jxb5YIWi3gAb7PlQxR&_nc_ht=scontent.fhan14-5.fna&oh=03_AdVQXgCV83wpoD7628T34l1cJSY5IGwtbeepKM_PLyMuNw&oe=66350ECB 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/432970296_1412403636826433_28894692023736080_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHarhfLRsYUO6jk7-igdC9QE-sLsEHJn4wT6wuwQcmfjHmL4Y9PPX0GV63vpdiKEo9uph60lJfYy4MifaNGNzpK&_nc_ohc=0nWrPk-W_5AAb6jbDcM&_nc_ht=scontent.fhan14-3.fna&oh=03_AdXxsCMlacwM0dzs4wgaMS7ZNsuQsVzOP5ei1sEf8xHvvQ&oe=663527AA ",,,,Bách
