index,time,page,sender_name,content,photos,videos,link,kdv,,,
0,2023/12/30,,Hồng Quân,"GIẢI PHÁP CHĂN NUÔI HIỆU QUẢ NGÀY KIẾM TRĂM CỦ🐧  Một người đàn ông Trung Quốc tên Zhang Lei đã khởi nghiệp thành công bằng cách chăn nuôi ""ve"" với số lượng 200 con, cung cấp cho thị trường chim ngoại quốc với giá 5 củ/1 cái rùng mình đến 12 củ/1lần qua đêm full topping. Nếu hoạt động hết công suất thì mỗi ngày người đàn ông này thu về cả trăm củ từ ""đàn ve"" 200 con của mình.  Tuy nhiên do hoạt động chăn nuôi này là trái pháp luật nên đã bị công an triệt phá. Tại hiện trường công an đã thu giữ 21,5 tỷ đồng tiền mặt và ghi nhận đường dây này đã thu lợi hơn 44 tỷ đồng từ hoạt động chăn nuôi trên.   #Beatvn","https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/404522877_759842916184264_1389290790323689993_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeGAFeVvNli8fM0njCj0-HRFa_YRv6Be-19r9hG_oF77X621qb4oD1cLUMavc88KU90Bs0AcnjZ2NwGOprkGbhVA&_nc_ohc=OxWEyy_ZegwAX9eIPTZ&_nc_oc=AQkY1EK-41N_BbhzvCFKUZeHRlrVoOwC9U5Q3epNn8OCOxDp5qwMtij3HyZSvxqvZjwJeh0kMcI6ctnEoezBHa1F&_nc_ht=scontent.fhan20-1.fna&oh=03_AdQjrw82LeXOzUieZ_zQMYi8NqOARNe5nVh2bOhe2EuEuA&oe=65BA8468 
https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/404070776_366038519493354_6132172006134397827_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeFbcg5sguD5WNL4pPlByu7ZfCfDBWpxRjt8J8MFanFGO-3gADyoLLIihT0VhxnFYy3248P1YIahScEG2qDv2Zv8&_nc_ohc=iefEsWkcNHwAX-zXYvA&_nc_ht=scontent.fhan20-1.fna&oh=03_AdQhiT_qFU9NpwnGWvqe_dWieb4JdjkS8TRKl7yeFsIQJg&oe=65BA7734 ",,,Bách,,,
1,2023/12/30,,Nguyễn Huyền,"Mai anh đào đã nở rất đẹp trên đồi chè Cầu Đất - Đà Lạt 🌸  Chờ cả 1 năm để đón một mùa hoa. Phía dưới xanh ngắt màu của lá chè, trên là sắc hồng rực rỡ, điện gió, mây trời. Tất cả tạo thành 1 bức tranh không thể đẹp hơn. Rủ chúng bạn lên kèo thôi 👍🏻  📸 Thảo Ngân   #beatvn","https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/412216959_384947510597176_8248389842140337548_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeHJ2nGVuX7DmRcDwbLZC-MBrSkvupyCClitKS-6nIIKWEv_yLvCbzR9wyDX44qs4r9Q6ZTt9bLfI3Vz_qq4I_8U&_nc_ohc=B_jjVG-4GzsAX81kcLu&_nc_ht=scontent.fhan20-1.fna&oh=03_AdSoT3W3pTWMqCqoDWc5jp_LBn898ADzeR8suGUhUyPrJQ&oe=65BA781E 
https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/412871171_1017583559342765_8543591748131784107_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeGdsFjS8kKNPiaztfRP5TWJonKQFZiqpIyicpAVmKqkjA6UKjdSrNxQo06RSlAT9K6NfBGgXUAxRf9mehQHS4-P&_nc_ohc=T9kG7TYiFloAX_boojO&_nc_ht=scontent.fhan20-1.fna&oh=03_AdQ6_1HgY_29Xs5AyNSGJ6LU4VDMBZdU8WAo-RmOouU2yA&oe=65BA6339 
https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/403636682_6535323429907730_2628282396213531993_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeHJx6ftXvmF-oFdVwAFTR9LKGFVDCIfEDcoYVUMIh8QN3JDpQp647xslAv1RiRRRGQwPC7ht2bMQJv73i6m03mc&_nc_ohc=p1HrmMEh7d0AX8bD4X6&_nc_ht=scontent.fhan20-1.fna&oh=03_AdS107vRZCSvCDQI7LJGQim_gxD85qyjNKt_1gJYZqOzUA&oe=65BA6D5F 
https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/396586630_1025221931922316_1137896971003095617_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeHuc6Exhgr1Jh1fMAO28qKomaMABdMkoY2ZowAF0yShjbSgk85Ti8lRiihs6S35A5KBsw6XnpbG1zGEQAogHk-Y&_nc_ohc=--NOrxK3MMgAX_FA4YZ&_nc_ht=scontent.fhan20-1.fna&oh=03_AdStt2JObpl96aVkPAgvzpMD_GRlVNitt961E6Pd6jQ_Iw&oe=65BA5E4A 
https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/412835768_593980442874326_776611748763448156_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeFQNtdKs2SlVwwMNoP_vrBEMCOe5qGAtdUwI57moYC11c3Trk6uWZ5YSfVQwwE1sAtc0fOPakAsN0meEcxSxp_t&_nc_ohc=8RZKPaZUbioAX9Ei9YG&_nc_oc=AQnltAhn-JgIX29-TeidVNNUMzQC7YWR12vAVfJEufWoqCK98VoH69M1C3pu2yYOZQNH6etkqdoLMz52ca__V4E5&_nc_ht=scontent.fhan20-1.fna&oh=03_AdTH4A96XoeDR2MVF2bfrrfD19oEuDCI1VC8VElJyeyujA&oe=65BA7296 
https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/385524999_330086456644884_6626527660924569715_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeGWo5PwIiW1RU1ceq8B031TKTGaraA5NRYpMZqtoDk1FhWfrDTb-nqqt5HBRPlTUGNOAWAZTaInzZJz_-s4zXQu&_nc_ohc=e7AbBgQErLgAX9pShWJ&_nc_ht=scontent.fhan20-1.fna&oh=03_AdSw2KmzPcnXqiIGpLtKhg5LhdzSFJ9YCjsAbKrJp6NzSg&oe=65BA820A ",,,Bách,,,
2,2023/12/30,,Nguyễn Long, ,"https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/411414924_641937587952812_8293339766760229141_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeEYHrI5bROWYMgjCq-dAUmV5X6HoBcU-6vlfoegFxT7q-Gypr9NZrpf7E4jHrzCoWw1DTAVohznVHnpxQSp0AmN&_nc_ohc=vLFsaGeafocAX93rnb0&_nc_ht=scontent.fhan20-1.fna&oh=03_AdT9NgfmGvJGEC6AZr-0H7p_vNKn_pprq3IEtkHxh8hkZw&oe=65BA76D5 
https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/411176274_886952592838042_4862138286628275977_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeG_CkAF9zP47jCM7DXg9-1A6UqtLCADi9DpSq0sIAOL0Oa6PewOCBB9q2CVBzQuTigWx7rsdz6JOp3R2efae6iO&_nc_ohc=6XUOhxGY4hkAX86PD2B&_nc_ht=scontent.fhan20-1.fna&oh=03_AdRVDnyjCl9dXfkHdS4oT9TeEKckcbeJZCBu02I9GGt5kA&oe=65BA7F82 
https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/411427290_1078036016728743_8826235236102379459_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeGjj9tKyamLSiTAPn4fFq5Cy6ltGhen5FjLqW0aF6fkWI0rWLNSvwlzVyRYhktvmT4cGSI9RSncbZtMwYxqijV7&_nc_ohc=zngQA1xAQhUAX9v6Ud7&_nc_ht=scontent.fhan20-1.fna&oh=03_AdQSKSdon87utiqpd5GeksoLsSW8AObh693lyEg2hGZcng&oe=65BA5D66 
https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/411427277_881128890386541_8517377468900649938_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeGT0b_ki_yycPtaYyAzqDNRN3o6plRSld43ejqmVFKV3tuT-H0zDBdkY2gqFd_l4z9CUapo0Imxlg900XtF4kyG&_nc_ohc=dPJvW4s5U2sAX9Li5Ra&_nc_ht=scontent.fhan20-1.fna&oh=03_AdRv5ukSJBqrgE5YX-gngByRxC5hg4Y4w9qs1B4g2_LWKA&oe=65BA8608 
https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/403405945_897862951650124_6196618119054829322_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeF9hXCorv11IYhPJQEqP3LElBggTtHXznGUGCBO0dfOcbn5UbzFnoY0poN4W6yOGBc6_2yz9BTeOPirDFKIOWZD&_nc_ohc=P1TCmavP8AgAX9GhReJ&_nc_ht=scontent.fhan20-1.fna&oh=03_AdRi6DOKCRCBFlAV0D9VSlWNOb9naqKet9a1wmWieCFpoA&oe=65BA7B6A 
https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/412878747_1463456730897369_8585211362564213823_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeFTnL2lcKYVRIUAIEtNQnb6nlORpLQEIEWeU5GktAQgRfoTa3p4w0G5bUW7lFKH97OIc-DjLNszNWfnUuaQCa-_&_nc_ohc=OdRTm6Hf37sAX9mBnOP&_nc_ht=scontent.fhan20-1.fna&oh=03_AdSxndMqvkIy-yM7LnSpolb1aD03vv5DzO9o83AlLVVJCQ&oe=65BA93B7 
https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/411279760_1403533730243377_5075717782845846918_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeGw1vMrXlu5OrMwmUcrWrQG-wQIZ6wj23v7BAhnrCPbexurR0BdfGIVGIWLL73TGMTUJdzhsgu9gRm1Ktj9cMZk&_nc_ohc=lx0QHWT79xYAX_3o4kG&_nc_ht=scontent.fhan20-1.fna&oh=03_AdQbwPLGEyeJLTXW9NTVTk8yEHk3copRz1u4oFuUFzEGLA&oe=65BA6C1F 
https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/411283823_338178385653972_6830178966750893477_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeG7mgFcv8nlHAQuWsy-XDIL-CZXZMS5nT74JldkxLmdPq-O_f4RaFn8-mvHwZDQMT9AARGWFjKV5dnKYV6QwUmI&_nc_ohc=Krf_Aoe8QV8AX-NQJ5e&_nc_ht=scontent.fhan20-1.fna&oh=03_AdRlqqe2oKeZDdLWvgdjMbDBAm1tZVBtogVEfnkIMZ6OXg&oe=65BA7EB7 ",,,Empty,,,
3,2023/12/30,,Nguyễn Bắc Bình,Thêm ảnh này ik,https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/412525441_1279128709421830_1671966119596305514_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeG0Tead1tJSfWJcuNkSdKq7TnF4q_hAZrBOcXir-EBmsC4YomG4mwfHHJCPZjw_bFHdUDW3JrpkzFPpbzvUKkCH&_nc_ohc=8stSLhtcsoAAX8NoVnD&_nc_ht=scontent.fhan20-1.fna&oh=03_AdRExMuw5jZ7qpoPCAOSJZzLZpqmRLb15z49ZFiT5t_s8Q&oe=65BA90E4 ,,,Bách,,,
4,2023/12/30,,Nguyễn Huyền,"‼️ HỖ TRỢ TÌM NGƯỜI THÂN ‼️  Con/cháu gia đình em sáng nay bỏ nhà đi và đăng tus mang chiều hướng tiêu cực, cả nhà đã đi tìm và hỏi khắp nơi nhưng ko ai biết bạn đang ở đâu.   Trước khi đi bạn mặc quần đen áo đồng phục của c3 chu văn an đeo balo và đi trên con xe điện xmen có màu như hình và có biển số 20MD - 401304.   Ai thấy bạn ở đâu xin vui lòng liên hệ sđt: 0976177298. (Bạn xuất phát từ phường Phú Xá - Thái Nguyên và theo camera quan sát đc là đi xuôi xuống hướng Gang thép).  Gia đình em xin chân thành cảm ơn và hậu tạ.   #beatvn",https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/414769926_2491069767730588_8975183188965046722_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeG-ZxzIliSnNAWplLhD3PRw0pnTeNOcjSPSmdN405yNI7JjmnQc839VxS1FmHP7Zu_t7omztHSJkvsMFzpwiQkh&_nc_ohc=qlbUf11fD10AX9LVulu&_nc_ht=scontent.fhan20-1.fna&oh=03_AdRqEOxfIKXl6dfqB_P-T3d1DU6hlAT09SHUvG5YJrO5Rw&oe=65BA5E64 ,,,Đạt,,,
5,2023/12/30,,Linh Phương,"NGHỆ SĨ XUÂN HINH LẦN ĐẦU CHIA SẺ HÌNH ẢNH VỀ CÔ CHÁU GÁI XINH ĐẸP BÊN BẢO TÀNG ĐẠO MẪU ❤️  Trên trang cá nhân, nghệ sĩ “Người ngựa ngựa người” dí dỏm mở lời: “Có ai muốn đặt gạch đứa cháu gái của Hinh không” 😁  Chưa rõ thông tin về cô cháu gái này nhưng có vẻ để đặt gạch xếp lót thì 3 bích của anh em là chưa ăn thua :(((  Ảnh: Nghệ sĩ Xuân Hinh #beatvn",,,,Đạt,,,
6,2023/12/30,,Linh Phương, ,"https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/410264456_1086815002333274_5894886436352722151_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeEw8VDMyNn8ZeFCGxMvqdzem0k3TKt0ld6bSTdMq3SV3rvj0_Un7k2Y1PrfWRO_5ZakLM_8PBUjMKyFduscuhIU&_nc_ohc=-cZgFnDT65EAX9ALUHy&_nc_ht=scontent.fhan20-1.fna&oh=03_AdSXWQVafMs7TRAFyDWOmorDKpCpulVylleoI-nIFD5AjQ&oe=65BA7608 
https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/403647307_732371575158044_5980704342734299589_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeFQjY0mbG7ixQAH7IJGlb5LYPktYcgzJKpg-S1hyDMkqhDT-ibim8V7Au00l3KfEIcmhE82eqlslxDQFkcpa5qn&_nc_ohc=AyqtuKU4tK4AX90VWEa&_nc_ht=scontent.fhan20-1.fna&oh=03_AdRfphCBgNBrup3EU4OT-e7WKwzOQ0o_ouwxfV5ZbCTSYQ&oe=65BA7D9B 
https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/403642454_1044523866842853_5502379544784195615_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeFrj4uJiY65DaVoRvj0uoo9eCFXVQKLlZB4IVdVAouVkKVL3oLtdMfUMzqLAFSzbGx0M8cN8zEayF78V0ejiRbC&_nc_ohc=w3T97GtqF8oAX9dZ5uY&_nc_ht=scontent.fhan20-1.fna&oh=03_AdRWnHCxt0DQBhCRrIRVosLeI3vptGQcHno3h-45qCvFFg&oe=65BA7D5C ",,,Đạt,,,
7,2023/12/30,,Hồng Quân, ,https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/404006541_732623192263228_727809783954680817_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeGrYWP88FKjIMec8uhc0PRgSn34qSZsHkRKffipJmweRGBI3NhZDLDYShIQNq5Hzf1YRR5M6lbYs9N_ZPdKcw9X&_nc_ohc=oCixa_J28lQAX914wQa&_nc_ht=scontent.fhan20-1.fna&oh=03_AdTYTLNQXfSypILVBN6cEtvzwECZiyYcRfpdVQrq0LXyXQ&oe=65BA8537 ,,,Đạt,,,
8,2023/12/30,,Nguyễn Huyền,"GỠ ĐƯỢC BAO NHIÊU THÌ GỠ =)))))   Trong khi cô dâu chú rể cùng quan viên hai họ đang làm lễ và dự lễ, thì đâu đó phía bên cánh gà người sếp yêu thương nhân viên vô điều kiện đang tranh thủ ăn từng miếng bánh kem nhỏ nhắn.   Không biết phong bì hôm nay sếp HuyNL dành cho Tân Mi là bao nhiêu nhỉ 🥹   📸 Kiều Lan Anh   #beatvn","https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/385545078_1315956485731968_1185960774955817427_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeF0DyX7YeDW8ofUrKHCnC1Lf-WfPlMvB0d_5Z8-Uy8HR3QYYJ3lRKYEQkZm_wghMV07rTgPzo-_glKfvR3WpNgj&_nc_ohc=DmefST34fysAX9eqlNy&_nc_ht=scontent.fhan20-1.fna&oh=03_AdS--B3pNNqpDuRWPEdw7foRljHCRG74qnvd0BnI1gR3sQ&oe=65BA7759 
https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/414734769_1010392383387174_2463909832532631569_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeFLroRjxAkt0dK5MEj1vQEnmlx4TElyNTiaXHhMSXI1OMiKn0KJTCqQYubO8zByl-zD2JC162lU7hDk57vY8YKA&_nc_ohc=EgqJfJ1_RXAAX9oliFc&_nc_ht=scontent.fhan20-1.fna&oh=03_AdSxL_QP1tNLN4p7CQ1CyLQWBXl_0B8n41mfophYcVYFMg&oe=65BA7165 
https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/415118315_353651887276896_6406127241287548191_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeF7STJ0yVv1npx9wvplstl6ZxpfIy2YgAlnGl8jLZiACbLIODWnGyfprUssIp0D9jvjCdiGTt61KitDwPy-qnKp&_nc_ohc=nE88OyP1zh0AX-wXkY-&_nc_ht=scontent.fhan20-1.fna&oh=03_AdTUsU4IMLDLFu2aQmE2ewIdnxHj1hdAADYKVyOGukGsUQ&oe=65BA7F28 
https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/415043853_892824998986164_8935140792411407624_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeFTs5pzUcakDUr54bpYllbnVbVeE-XAne9VtV4T5cCd70sZj_kaYmKNLVtj7-XFNbiS_mVc9A-5iIvlXfO0U61k&_nc_ohc=zG32IUC_FnoAX9ZoXwv&_nc_ht=scontent.fhan20-1.fna&oh=03_AdSLGwL9VMoWifaQuw-x6e6Fa_LhSw2-9m84LteQx835bA&oe=65BA8C37 
https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/414937305_1013032296431227_6040530251949812552_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeEES8Ap7e19Zd0EPKifU6_ajjPNz12u4cSOM83PXa7hxAGzP2kHxUtNtHZncTEdQm1dR6CcUKyVnltP2ywxX7VL&_nc_ohc=rmTnZg6a3AwAX_3uJxi&_nc_ht=scontent.fhan20-1.fna&oh=03_AdQib6tn_CfOY50U4CDbNJkKThQxggjWFFFhZXZuKwlBBg&oe=65BA7E28 ",,,Đạt,,,
9,2023/12/30,,Dương Lê, ,https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/409830101_6970552346357390_2773760898821216809_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8cd0a2&_nc_eui2=AeH3Z7eDKutb8dM0Awj5VDcJcfFt7RXAax9x8W3tFcBrH2WPXSk0FFe27kFNhMXOZwMoIeLkhnnryboWz-DyoJAi&_nc_ohc=UlNu601yFNMAX8riYBj&_nc_ht=scontent.fhan20-1.fna&oh=03_AdRqmPAxBcsQ_xeowR2OYfH0ZsI2VK8-GBgOviSA3qIUuQ&oe=65BA8368 ,,,Đạt,,,
